3600,3556.461
7200,3556.461
10800,3947.27
14400,4048.154
18000,4099.074
21600,4305.935
25200,4734.934
28800,4929.025
32400,5155.618
36000,5358.063
39600,5865.947
43200,6396.825
46800,7185.443
50400,7596.938
54000,7562.209
57600,7458.5
61200,7151.669
64800,7321.335
68400,6622.104
72000,6460.792
75600,6428.769
79200,6081.759
82800,5927.21
86400,5927.21
90000,5774.65
93600,5714.183
97200,5387.302
100800,5041.685
104400,4598.684
108000,4625.774
111600,4571.672
115200,4598.684
118800,4227.766
122400,4073.574
126000,3749.319
129600,3299.595
133200,3008.438
136800,3468.37
140400,4135.238
144000,5579.892
147600,6805.148
151200,7880.528
154800,10577.3
158400,11908.27
162000,11813.948
165600,11347.96
169200,10006.255
172800,9200.153
176400,7203.768
180000,6314.22
183600,5451.253
187200,4651.668
190800,3807.828
194400,3267.348
198000,4275.165
201600,6369.294
205200,9153.375
208800,10984.697
212400,12387.313
216000,14678.315
219600,15866.374
223200,14970.996
226800,14795.04
230400,12656.302
234000,12227.306
237600,9904.118
241200,8789.099
244800,6562.585
248400,5375.45
252000,5062.891
255600,3996.931
259200,3698.76
262800,3412.146
266400,3164.075
