     Y                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
           84  0.5628307E+03  0.5767511E+03  0.5906595E+03  0.6044967E+03  0.6181902E+03  0.6985136E+03  0.7744488E+03  0.8476684E+03  0.9193443E+03  0.9903540E+03  0.1061427E+04  0.1133251E+04  0.1206565E+04  0.1282243E+04  0.1299458E+04  0.1316982E+04  0.1334612E+04  0.1352309E+04
           85  0.5648176E+03  0.5787561E+03  0.5927032E+03  0.6066235E+03  0.6204832E+03  0.6988219E+03  0.7745811E+03  0.8483731E+03  0.9208492E+03  0.9926171E+03  0.1064248E+04  0.1136309E+04  0.1209399E+04  0.1284217E+04  0.1299377E+04  0.1314762E+04  0.1330180E+04  0.1345593E+04
           86  0.5657944E+03  0.5804302E+03  0.5950831E+03  0.6097416E+03  0.6243907E+03  0.7007961E+03  0.7760553E+03  0.8500048E+03  0.9228628E+03  0.9949799E+03  0.1066754E+04  0.1138599E+04  0.1210929E+04  0.1284111E+04  0.1298070E+04  0.1312045E+04  0.1326002E+04  0.1339911E+04
           87  0.5661719E+03  0.5816355E+03  0.5971172E+03  0.6126210E+03  0.6281872E+03  0.7034975E+03  0.7784019E+03  0.8523864E+03  0.9253959E+03  0.9975869E+03  0.1069208E+04  0.1140536E+04  0.1211832E+04  0.1283277E+04  0.1296584E+04  0.1309868E+04  0.1323096E+04  0.1336236E+04
           88  0.5663396E+03  0.5825544E+03  0.5987771E+03  0.6150206E+03  0.6313478E+03  0.7064566E+03  0.7813538E+03  0.8554259E+03  0.9284914E+03  0.1000591E+04  0.1071868E+04  0.1142496E+04  0.1212628E+04  0.1282337E+04  0.1295610E+04  0.1308836E+04  0.1321982E+04  0.1335020E+04
           89  0.5665533E+03  0.5833616E+03  0.6001530E+03  0.6169390E+03  0.6337414E+03  0.7095518E+03  0.7848460E+03  0.8591363E+03  0.9322396E+03  0.1004156E+04  0.1074973E+04  0.1144801E+04  0.1213716E+04  0.1281724E+04  0.1295515E+04  0.1309234E+04  0.1322856E+04  0.1336356E+04
           90  0.5671111E+03  0.5843748E+03  0.6015903E+03  0.6187672E+03  0.6359158E+03  0.7129809E+03  0.7889937E+03  0.8636297E+03  0.9367782E+03  0.1008458E+04  0.1078745E+04  0.1147720E+04  0.1215415E+04  0.1281761E+04  0.1296635E+04  0.1311303E+04  0.1325842E+04  0.1340234E+04
           91  0.5684328E+03  0.5860334E+03  0.6035536E+03  0.6209991E+03  0.6383748E+03  0.7170921E+03  0.7940364E+03  0.8690957E+03  0.9422823E+03  0.1013678E+04  0.1083385E+04  0.1151484E+04  0.1218000E+04  0.1282844E+04  0.1299037E+04  0.1314873E+04  0.1330546E+04  0.1346038E+04
           92  0.5710451E+03  0.5888993E+03  0.6066444E+03  0.6242803E+03  0.6418056E+03  0.7223477E+03  0.8002973E+03  0.8757755E+03  0.9489504E+03  0.1019997E+04  0.1089066E+04  0.1156268E+04  0.1221649E+04  0.1285192E+04  0.1302765E+04  0.1319919E+04  0.1336868E+04  0.1353595E+04
           93  0.5752785E+03  0.5934085E+03  0.6113939E+03  0.6292234E+03  0.6468852E+03  0.7292665E+03  0.8081447E+03  0.8839362E+03  0.9569878E+03  0.1027584E+04  0.1095941E+04  0.1162202E+04  0.1226439E+04  0.1288671E+04  0.1307753E+04  0.1326323E+04  0.1344637E+04  0.1362684E+04
           94  0.5814660E+03  0.6000489E+03  0.6184437E+03  0.6366352E+03  0.6545942E+03  0.7384168E+03  0.8179595E+03  0.8938450E+03  0.9665908E+03  0.1036595E+04  0.1104138E+04  0.1169394E+04  0.1232447E+04  0.1293390E+04  0.1314040E+04  0.1334070E+04  0.1353784E+04  0.1373189E+04
           95  0.5899459E+03  0.6092083E+03  0.6282379E+03  0.6470155E+03  0.6655199E+03  0.7502635E+03  0.8300885E+03  0.9057446E+03  0.9779302E+03  0.1047156E+04  0.1113762E+04  0.1177937E+04  0.1239705E+04  0.1298780E+04  0.1320949E+04  0.1342247E+04  0.1363183E+04  0.1383779E+04
           96  0.6000415E+03  0.6201181E+03  0.6399418E+03  0.6594974E+03  0.6786881E+03  0.7651480E+03  0.8448412E+03  0.9198350E+03  0.9911344E+03  0.1059359E+04  0.1124894E+04  0.1187949E+04  0.1248557E+04  0.1306460E+04  0.1329783E+04  0.1352318E+04  0.1374461E+04  0.1396245E+04
           97  0.6172782E+03  0.6387912E+03  0.6599438E+03  0.6807189E+03  0.7010191E+03  0.7843339E+03  0.8625662E+03  0.9362550E+03  0.1006270E+04  0.1073241E+04  0.1137564E+04  0.1199458E+04  0.1259052E+04  0.1316643E+04  0.1341160E+04  0.1364906E+04  0.1388243E+04  0.1411207E+04
           98  0.6352115E+03  0.6581327E+03  0.6805811E+03  0.7025332E+03  0.7238751E+03  0.8067848E+03  0.8831706E+03  0.9549889E+03  0.1023313E+04  0.1088774E+04  0.1151734E+04  0.1212377E+04  0.1270764E+04  0.1326847E+04  0.1352311E+04  0.1376987E+04  0.1401245E+04  0.1425129E+04
           99  0.6586802E+03  0.6834538E+03  0.7075108E+03  0.7308852E+03  0.7535436E+03  0.8333417E+03  0.9066577E+03  0.9759180E+03  0.1042147E+04  0.1105863E+04  0.1167335E+04  0.1226676E+04  0.1283852E+04  0.1338483E+04  0.1364873E+04  0.1390371E+04  0.1415454E+04  0.1440170E+04
          100  0.6927327E+03  0.7191243E+03  0.7447413E+03  0.7695580E+03  0.7927312E+03  0.8640735E+03  0.9327048E+03  0.9987456E+03  0.1062549E+04  0.1124346E+04  0.1184253E+04  0.1242307E+04  0.1298495E+04  0.1352868E+04  0.1379744E+04  0.1405999E+04  0.1431852E+04  0.1457347E+04
          101  0.7261988E+03  0.7543241E+03  0.7813438E+03  0.8073149E+03  0.8314765E+03  0.8965137E+03  0.9603710E+03  0.1022966E+04  0.1084199E+04  0.1144002E+04  0.1202319E+04  0.1259091E+04  0.1314262E+04  0.1367836E+04  0.1395268E+04  0.1422143E+04  0.1448633E+04  0.1474784E+04
          102  0.7622843E+03  0.7912440E+03  0.8191936E+03  0.8461017E+03  0.8714466E+03  0.9296684E+03  0.9888133E+03  0.1048029E+04  0.1106734E+04  0.1164579E+04  0.1221343E+04  0.1276868E+04  0.1331020E+04  0.1383587E+04  0.1411506E+04  0.1438884E+04  0.1465904E+04  0.1492606E+04
          103  0.7975102E+03  0.8275190E+03  0.8563853E+03  0.8842254E+03  0.9109103E+03  0.9622692E+03  0.1017213E+04  0.1073404E+04  0.1129799E+04  0.1185825E+04  0.1241136E+04  0.1295500E+04  0.1348768E+04  0.1400890E+04  0.1429130E+04  0.1456941E+04  0.1484415E+04  0.1511592E+04
          104  0.8265814E+03  0.8576399E+03  0.8872909E+03  0.9160056E+03  0.9440030E+03  0.9927565E+03  0.1044862E+04  0.1098655E+04  0.1153090E+04  0.1207516E+04  0.1261517E+04  0.1314818E+04  0.1367235E+04  0.1418664E+04  0.1447203E+04  0.1475358E+04  0.1503195E+04  0.1530752E+04
          105  0.8574174E+03  0.8871813E+03  0.9164491E+03  0.9454124E+03  0.9743010E+03  0.1021314E+04  0.1071507E+04  0.1123518E+04  0.1176386E+04  0.1229469E+04  0.1282334E+04  0.1334689E+04  0.1386324E+04  0.1437057E+04  0.1465829E+04  0.1494254E+04  0.1522379E+04  0.1550237E+04
          106  0.8855372E+03  0.9142433E+03  0.9431415E+03  0.9723468E+03  0.1002275E+04  0.1048048E+04  0.1097071E+04  0.1147859E+04  0.1199550E+04  0.1251557E+04  0.1303472E+04  0.1355012E+04  0.1405983E+04  0.1456259E+04  0.1485235E+04  0.1513886E+04  0.1542237E+04  0.1570311E+04
          107  0.9080747E+03  0.9362145E+03  0.9648017E+03  0.9942435E+03  0.1026187E+04  0.1072912E+04  0.1121580E+04  0.1171652E+04  0.1222519E+04  0.1273702E+04  0.1324845E+04  0.1375695E+04  0.1426084E+04  0.1475944E+04  0.1505126E+04  0.1533979E+04  0.1562511E+04  0.1590711E+04
          108  0.9339406E+03  0.9609611E+03  0.9888175E+03  0.1018032E+04  0.1049710E+04  0.1096628E+04  0.1145240E+04  0.1194954E+04  0.1245291E+04  0.1295872E+04  0.1346404E+04  0.1396670E+04  0.1446522E+04  0.1495880E+04  0.1525262E+04  0.1554315E+04  0.1583043E+04  0.1611444E+04
          109  0.9636775E+03  0.9881429E+03  0.1014149E+04  0.1041755E+04  0.1071524E+04  0.1119306E+04  0.1168220E+04  0.1217866E+04  0.1267910E+04  0.1318074E+04  0.1368131E+04  0.1417908E+04  0.1467276E+04  0.1516137E+04  0.1545719E+04  0.1574970E+04  0.1603899E+04  0.1632505E+04
          110  0.9918762E+03  0.1014369E+04  0.1038595E+04  0.1064479E+04  0.1092349E+04  0.1141275E+04  0.1190737E+04  0.1240527E+04  0.1290454E+04  0.1340342E+04  0.1390037E+04  0.1439409E+04  0.1488357E+04  0.1536808E+04  0.1566598E+04  0.1596049E+04  0.1625177E+04  0.1653992E+04
          111  0.1019888E+04  0.1040745E+04  0.1063144E+04  0.1087078E+04  0.1112672E+04  0.1162898E+04  0.1213044E+04  0.1263101E+04  0.1313023E+04  0.1362736E+04  0.1412151E+04  0.1461182E+04  0.1509759E+04  0.1557836E+04  0.1587837E+04  0.1617481E+04  0.1646785E+04  0.1675756E+04
          112  0.1051729E+04  0.1070585E+04  0.1090520E+04  0.1111425E+04  0.1133068E+04  0.1184575E+04  0.1235408E+04  0.1285762E+04  0.1335728E+04  0.1385322E+04  0.1434513E+04  0.1483252E+04  0.1531487E+04  0.1579189E+04  0.1609398E+04  0.1639226E+04  0.1668694E+04  0.1697779E+04
          113  0.1082821E+04  0.1099829E+04  0.1117426E+04  0.1135532E+04  0.1154027E+04  0.1206708E+04  0.1258092E+04  0.1308677E+04  0.1358677E+04  0.1408172E+04  0.1457171E+04  0.1505650E+04  0.1553563E+04  0.1600873E+04  0.1631262E+04  0.1661267E+04  0.1690934E+04  0.1720297E+04
          114  0.1115446E+04  0.1130616E+04  0.1145991E+04  0.1161498E+04  0.1176869E+04  0.1229728E+04  0.1281310E+04  0.1331982E+04  0.1381959E+04  0.1431346E+04  0.1480172E+04  0.1528420E+04  0.1576037E+04  0.1622912E+04  0.1653434E+04  0.1683578E+04  0.1713394E+04  0.1742927E+04
          115  0.1146496E+04  0.1160200E+04  0.1173901E+04  0.1187548E+04  0.1200900E+04  0.1253621E+04  0.1305142E+04  0.1355749E+04  0.1405633E+04  0.1454891E+04  0.1503555E+04  0.1551609E+04  0.1599002E+04  0.1645669E+04  0.1676315E+04  0.1706572E+04  0.1736458E+04  0.1765966E+04
          116  0.1176003E+04  0.1188646E+04  0.1201206E+04  0.1213650E+04  0.1225823E+04  0.1278329E+04  0.1329589E+04  0.1379999E+04  0.1429722E+04  0.1478831E+04  0.1527343E+04  0.1575236E+04  0.1622453E+04  0.1668868E+04  0.1699655E+04  0.1730026E+04  0.1759992E+04  0.1789535E+04
          117  0.1205541E+04  0.1217476E+04  0.1229316E+04  0.1241037E+04  0.1252563E+04  0.1303881E+04  0.1354605E+04  0.1404707E+04  0.1454220E+04  0.1503167E+04  0.1551541E+04  0.1599317E+04  0.1646445E+04  0.1692823E+04  0.1723868E+04  0.1754387E+04  0.1784463E+04  0.1814162E+04
          118  0.1233617E+04  0.1245172E+04  0.1256642E+04  0.1268015E+04  0.1279261E+04  0.1329833E+04  0.1380039E+04  0.1429805E+04  0.1479095E+04  0.1527883E+04  0.1576139E+04  0.1623831E+04  0.1670947E+04  0.1717577E+04  0.1748696E+04  0.1779260E+04  0.1809343E+04  0.1838975E+04
          119  0.1261176E+04  0.1272524E+04  0.1283807E+04  0.1295021E+04  0.1306152E+04  0.1356028E+04  0.1405765E+04  0.1455219E+04  0.1504303E+04  0.1552952E+04  0.1601111E+04  0.1648731E+04  0.1695777E+04  0.1742257E+04  0.1773240E+04  0.1803735E+04  0.1833775E+04  0.1863361E+04
          120  0.1288406E+04  0.1299613E+04  0.1310774E+04  0.1321893E+04  0.1332966E+04  0.1382315E+04  0.1431677E+04  0.1480878E+04  0.1529798E+04  0.1578345E+04  0.1626440E+04  0.1674012E+04  0.1720984E+04  0.1767261E+04  0.1798173E+04  0.1828590E+04  0.1858586E+04  0.1888179E+04
          121  0.1315622E+04  0.1326635E+04  0.1337632E+04  0.1348620E+04  0.1359606E+04  0.1408594E+04  0.1457694E+04  0.1506721E+04  0.1555537E+04  0.1604034E+04  0.1652116E+04  0.1699688E+04  0.1746652E+04  0.1792893E+04  0.1823599E+04  0.1853875E+04  0.1883797E+04  0.1913388E+04
          122  0.1342938E+04  0.1353669E+04  0.1364420E+04  0.1375194E+04  0.1386004E+04  0.1434801E+04  0.1483760E+04  0.1532701E+04  0.1581486E+04  0.1629996E+04  0.1678125E+04  0.1725763E+04  0.1772796E+04  0.1819091E+04  0.1849517E+04  0.1879609E+04  0.1909423E+04  0.1938982E+04
          123  0.1370205E+04  0.1380624E+04  0.1391083E+04  0.1401584E+04  0.1412136E+04  0.1460902E+04  0.1509837E+04  0.1558784E+04  0.1607614E+04  0.1656208E+04  0.1704454E+04  0.1752234E+04  0.1799420E+04  0.1845864E+04  0.1875993E+04  0.1905874E+04  0.1935551E+04  0.1965044E+04
          124  0.1397290E+04  0.1407410E+04  0.1417572E+04  0.1427776E+04  0.1438029E+04  0.1486893E+04  0.1535906E+04  0.1584944E+04  0.1633894E+04  0.1682646E+04  0.1731085E+04  0.1779090E+04  0.1826524E+04  0.1873231E+04  0.1903044E+04  0.1932692E+04  0.1962204E+04  0.1991597E+04
          125  0.1424156E+04  0.1433971E+04  0.1443839E+04  0.1453758E+04  0.1463729E+04  0.1512787E+04  0.1561958E+04  0.1611161E+04  0.1660304E+04  0.1709286E+04  0.1757999E+04  0.1806317E+04  0.1854097E+04  0.1901172E+04  0.1930657E+04  0.1960054E+04  0.1989376E+04  0.2018632E+04
          126  0.1450719E+04  0.1460268E+04  0.1469890E+04  0.1479575E+04  0.1489312E+04  0.1538606E+04  0.1587990E+04  0.1637417E+04  0.1686817E+04  0.1736102E+04  0.1785167E+04  0.1833889E+04  0.1882122E+04  0.1929690E+04  0.1958860E+04  0.1988000E+04  0.2017112E+04  0.2046203E+04
          127  0.1476541E+04  0.1486049E+04  0.1495611E+04  0.1505211E+04  0.1514836E+04  0.1564368E+04  0.1613994E+04  0.1663690E+04  0.1713405E+04  0.1763059E+04  0.1812556E+04  0.1861775E+04  0.1910574E+04  0.1958781E+04  0.1987641E+04  0.2016514E+04  0.2045402E+04  0.2074307E+04
          128  0.1501320E+04  0.1511062E+04  0.1520811E+04  0.1530561E+04  0.1540306E+04  0.1590070E+04  0.1639951E+04  0.1689952E+04  0.1740031E+04  0.1790119E+04  0.1840124E+04  0.1889931E+04  0.1939403E+04  0.1988376E+04  0.2016919E+04  0.2045521E+04  0.2074176E+04  0.2102885E+04
          129  0.1525644E+04  0.1535704E+04  0.1545740E+04  0.1555752E+04  0.1565743E+04  0.1615694E+04  0.1665832E+04  0.1716163E+04  0.1766651E+04  0.1817231E+04  0.1867818E+04  0.1918302E+04  0.1968550E+04  0.2018402E+04  0.2046623E+04  0.2074951E+04  0.2103371E+04  0.2131881E+04
          130  0.1549937E+04  0.1560268E+04  0.1570571E+04  0.1580849E+04  0.1591109E+04  0.1641199E+04  0.1691589E+04  0.1742273E+04  0.1793210E+04  0.1844340E+04  0.1895579E+04  0.1946824E+04  0.1997948E+04  0.2048799E+04  0.2076699E+04  0.2104756E+04  0.2132941E+04  0.2161248E+04
          131  0.1574298E+04  0.1584835E+04  0.1595338E+04  0.1605821E+04  0.1616296E+04  0.1666509E+04  0.1717158E+04  0.1768219E+04  0.1819647E+04  0.1871379E+04  0.1923336E+04  0.1975424E+04  0.2027522E+04  0.2079482E+04  0.2107089E+04  0.2134890E+04  0.2162847E+04  0.2190950E+04
          132  0.1599002E+04  0.1609576E+04  0.1620117E+04  0.1630650E+04  0.1641198E+04  0.1691540E+04  0.1742464E+04  0.1793930E+04  0.1845888E+04  0.1898273E+04  0.1951011E+04  0.2004016E+04  0.2057184E+04  0.2110379E+04  0.2137742E+04  0.2165314E+04  0.2193052E+04  0.2220948E+04
          133  0.1624642E+04  0.1634831E+04  0.1645065E+04  0.1655354E+04  0.1665718E+04  0.1716200E+04  0.1767421E+04  0.1819327E+04  0.1871855E+04  0.1924939E+04  0.1978513E+04  0.2032503E+04  0.2086828E+04  0.2141410E+04  0.2168563E+04  0.2195922E+04  0.2223461E+04  0.2251166E+04
          134  0.1650293E+04  0.1659974E+04  0.1669755E+04  0.1679636E+04  0.1689634E+04  0.1740389E+04  0.1791942E+04  0.1844325E+04  0.1897464E+04  0.1951292E+04  0.2005748E+04  0.2060774E+04  0.2116307E+04  0.2172270E+04  0.2199235E+04  0.2226407E+04  0.2253776E+04  0.2281331E+04
          135  0.1676336E+04  0.1685494E+04  0.1694772E+04  0.1704167E+04  0.1713690E+04  0.1764067E+04  0.1815933E+04  0.1868838E+04  0.1922633E+04  0.1977241E+04  0.2032615E+04  0.2088719E+04  0.2145506E+04  0.2202878E+04  0.2229641E+04  0.2256648E+04  0.2283879E+04  0.2311329E+04
          136  0.1699877E+04  0.1708542E+04  0.1717369E+04  0.1726341E+04  0.1735443E+04  0.1786802E+04  0.1839262E+04  0.1892784E+04  0.1947281E+04  0.2002698E+04  0.2059011E+04  0.2116220E+04  0.2174324E+04  0.2233164E+04  0.2259731E+04  0.2286578E+04  0.2313668E+04  0.2341019E+04
          137  0.1722011E+04  0.1730549E+04  0.1739237E+04  0.1748053E+04  0.1756981E+04  0.1808845E+04  0.1861918E+04  0.1916108E+04  0.1971340E+04  0.2027579E+04  0.2084829E+04  0.2143140E+04  0.2202658E+04  0.2263997E+04  0.2290389E+04  0.2317087E+04  0.2344005E+04  0.2371092E+04
          138  0.1741525E+04  0.1750428E+04  0.1759449E+04  0.1768566E+04  0.1777811E+04  0.1830126E+04  0.1883867E+04  0.1938770E+04  0.1994756E+04  0.2051810E+04  0.2109962E+04  0.2169278E+04  0.2229806E+04  0.2291169E+04  0.2317490E+04  0.2344140E+04  0.2371072E+04  0.2398306E+04
          139  0.1757464E+04  0.1767204E+04  0.1777025E+04  0.1786904E+04  0.1796891E+04  0.1850512E+04  0.1905081E+04  0.1960742E+04  0.2017488E+04  0.2075335E+04  0.2134343E+04  0.2194630E+04  0.2256413E+04  0.2320396E+04  0.2346611E+04  0.2373180E+04  0.2400034E+04  0.2427161E+04
          140  0.1771920E+04  0.1782926E+04  0.1793983E+04  0.1805071E+04  0.1816189E+04  0.1870298E+04  0.1925605E+04  0.1982023E+04  0.2039519E+04  0.2098116E+04  0.2157901E+04  0.2219013E+04  0.2281594E+04  0.2345350E+04  0.2371538E+04  0.2398059E+04  0.2424885E+04  0.2452020E+04
          141  0.1783703E+04  0.1796173E+04  0.1808658E+04  0.1821149E+04  0.1834626E+04  0.1889323E+04  0.1945428E+04  0.2002622E+04  0.2060846E+04  0.2120136E+04  0.2180603E+04  0.2242444E+04  0.2306012E+04  0.2372280E+04  0.2398235E+04  0.2424636E+04  0.2451387E+04  0.2478460E+04
          142  0.1794742E+04  0.1808749E+04  0.1822729E+04  0.1836694E+04  0.1851270E+04  0.1907470E+04  0.1964566E+04  0.2022569E+04  0.2081494E+04  0.2141401E+04  0.2202420E+04  0.2264756E+04  0.2328675E+04  0.2394142E+04  0.2420084E+04  0.2446486E+04  0.2473265E+04  0.2500406E+04
          143  0.1806162E+04  0.1821579E+04  0.1836927E+04  0.1852243E+04  0.1867564E+04  0.1925065E+04  0.1983137E+04  0.2041937E+04  0.2101517E+04  0.2161954E+04  0.2223386E+04  0.2286043E+04  0.2350330E+04  0.2417205E+04  0.2443424E+04  0.2469984E+04  0.2496868E+04  0.2524073E+04
          144  0.1818489E+04  0.1834948E+04  0.1851330E+04  0.1867683E+04  0.1884055E+04  0.1942307E+04  0.2001256E+04  0.2060814E+04  0.2120997E+04  0.2181871E+04  0.2243560E+04  0.2306270E+04  0.2370296E+04  0.2435895E+04  0.2462318E+04  0.2489030E+04  0.2516014E+04  0.2543260E+04
          145  0.1831556E+04  0.1848629E+04  0.1865649E+04  0.1882657E+04  0.1899702E+04  0.1959118E+04  0.2018998E+04  0.2079300E+04  0.2140038E+04  0.2201263E+04  0.2263074E+04  0.2325637E+04  0.2389240E+04  0.2454397E+04  0.2481156E+04  0.2508105E+04  0.2535230E+04  0.2562526E+04
          146  0.1845472E+04  0.1862853E+04  0.1880209E+04  0.1897566E+04  0.1914951E+04  0.1975647E+04  0.2036482E+04  0.2097516E+04  0.2158772E+04  0.2220280E+04  0.2282096E+04  0.2344322E+04  0.2407157E+04  0.2471082E+04  0.2498079E+04  0.2525238E+04  0.2552523E+04  0.2579928E+04
          147  0.1860247E+04  0.1877771E+04  0.1895294E+04  0.1912818E+04  0.1930341E+04  0.1992093E+04  0.2053844E+04  0.2115595E+04  0.2177346E+04  0.2239098E+04  0.2300849E+04  0.2362600E+04  0.2424351E+04  0.2486103E+04  0.2513556E+04  0.2541009E+04  0.2568463E+04  0.2595916E+04
          148  0.1874132E+04  0.1891590E+04  0.1909047E+04  0.1926504E+04  0.1943962E+04  0.2005838E+04  0.2067715E+04  0.2129592E+04  0.2191469E+04  0.2253346E+04  0.2315223E+04  0.2377099E+04  0.2438976E+04  0.2500853E+04  0.2528516E+04  0.2556179E+04  0.2583842E+04  0.2611506E+04
          149  0.1887963E+04  0.1905322E+04  0.1922680E+04  0.1940039E+04  0.1957397E+04  0.2019362E+04  0.2081328E+04  0.2143293E+04  0.2205259E+04  0.2267224E+04  0.2329189E+04  0.2391155E+04  0.2453120E+04  0.2515086E+04  0.2542983E+04  0.2570880E+04  0.2598777E+04  0.2626674E+04
     Y                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
            1 -0.1884410E+02  0.4622268E+01  0.2808863E+02  0.5155500E+02  0.7502136E+02  0.1575638E+03  0.2401063E+03  0.3226488E+03  0.4051913E+03  0.4877338E+03  0.5702762E+03  0.6528187E+03  0.7353612E+03  0.8179037E+03  0.8413578E+03  0.8648119E+03  0.8882660E+03  0.9117202E+03
            2 -0.1848011E+02  0.5239621E+01  0.2895935E+02  0.5267908E+02  0.7639880E+02  0.1580984E+03  0.2397980E+03  0.3214976E+03  0.4031973E+03  0.4848969E+03  0.5665965E+03  0.6482961E+03  0.7299957E+03  0.8116953E+03  0.8347534E+03  0.8578115E+03  0.8808696E+03  0.9039277E+03
            3 -0.1799085E+02  0.6311711E+01  0.3061560E+02  0.5490485E+02  0.7915236E+02  0.1593685E+03  0.2396393E+03  0.3199384E+03  0.4002593E+03  0.4805971E+03  0.5609488E+03  0.6413210E+03  0.7217473E+03  0.8023463E+03  0.8248505E+03  0.8474586E+03  0.8701501E+03  0.8929256E+03
            4 -0.1769909E+02  0.7165420E+01  0.3203997E+02  0.5690871E+02  0.8175335E+02  0.1606045E+03  0.2394646E+03  0.3183674E+03  0.3973126E+03  0.4762901E+03  0.5552906E+03  0.6343169E+03  0.7134017E+03  0.7926333E+03  0.8147287E+03  0.8369551E+03  0.8592911E+03  0.8817468E+03
            5 -0.1757758E+02  0.7915758E+01  0.3343096E+02  0.5895417E+02  0.8446061E+02  0.1618354E+03  0.2392659E+03  0.3167734E+03  0.3943488E+03  0.4719710E+03  0.5496188E+03  0.6272814E+03  0.7049752E+03  0.7827760E+03  0.8044655E+03  0.8262882E+03  0.8482178E+03  0.8702740E+03
            6 -0.1763913E+02  0.8526099E+01  0.3472674E+02  0.6095205E+02  0.8719192E+02  0.1630347E+03  0.2390242E+03  0.3151426E+03  0.3913598E+03  0.4676383E+03  0.5439392E+03  0.6202293E+03  0.6964908E+03  0.7727346E+03  0.7939742E+03  0.8153015E+03  0.8367097E+03  0.8582233E+03
            7 -0.1790028E+02  0.8963067E+01  0.3587647E+02  0.6283233E+02  0.8983529E+02  0.1641526E+03  0.2387115E+03  0.3134579E+03  0.3883378E+03  0.4632936E+03  0.5382653E+03  0.6131924E+03  0.6880159E+03  0.7626779E+03  0.7833327E+03  0.8040250E+03  0.8247640E+03  0.8455710E+03
            8 -0.1838271E+02  0.9191782E+01  0.3683208E+02  0.6453362E+02  0.9230708E+02  0.1651380E+03  0.2382957E+03  0.3117002E+03  0.3852744E+03  0.4589403E+03  0.5326155E+03  0.6062111E+03  0.6796270E+03  0.7527459E+03  0.7726717E+03  0.7925968E+03  0.8125360E+03  0.8325037E+03
            9 -0.1910470E+02  0.9179882E+01  0.3755031E+02  0.6600464E+02  0.9455473E+02  0.1659446E+03  0.2377445E+03  0.3098495E+03  0.3821611E+03  0.4545818E+03  0.5270089E+03  0.5993264E+03  0.6713966E+03  0.7430486E+03  0.7621381E+03  0.7812017E+03  0.8002512E+03  0.8192952E+03
           10 -0.2009357E+02  0.8888306E+01  0.3798338E+02  0.6719220E+02  0.9652703E+02  0.1665271E+03  0.2370257E+03  0.3078852E+03  0.3789877E+03  0.4502200E+03  0.5214619E+03  0.5925754E+03  0.6633902E+03  0.7336821E+03  0.7518751E+03  0.7700229E+03  0.7881307E+03  0.8062019E+03
           11 -0.2139788E+02  0.8265069E+01  0.3807258E+02  0.6802511E+02  0.9813115E+02  0.1668363E+03  0.2361076E+03  0.3057865E+03  0.3757427E+03  0.4458527E+03  0.5159853E+03  0.5859872E+03  0.6556654E+03  0.7247594E+03  0.7420353E+03  0.7592444E+03  0.7763892E+03  0.7934687E+03
           12 -0.2310659E+02  0.7231855E+01  0.3774684E+02  0.6843321E+02  0.9929103E+02  0.1668331E+03  0.2349633E+03  0.3035332E+03  0.3724120E+03  0.4414730E+03  0.5105809E+03  0.5795770E+03  0.6482583E+03  0.7163472E+03  0.7326874E+03  0.7489519E+03  0.7651400E+03  0.7812432E+03
           13 -0.2528846E+02  0.5735048E+01  0.3696913E+02  0.6840151E+02  0.1000308E+03  0.1665023E+03  0.2335725E+03  0.3011064E+03  0.3689788E+03  0.4370668E+03  0.5052391E+03  0.5733418E+03  0.6411775E+03  0.7084747E+03  0.7239353E+03  0.7393194E+03  0.7546230E+03  0.7698324E+03
           14 -0.2800175E+02  0.3732156E+01  0.3571408E+02  0.6792434E+02  0.1003560E+03  0.1658345E+03  0.2319193E+03  0.2984874E+03  0.3654230E+03  0.4326127E+03  0.4999368E+03  0.5672570E+03  0.6343977E+03  0.7011193E+03  0.7158092E+03  0.7304349E+03  0.7449874E+03  0.7594502E+03
           15 -0.3130294E+02  0.1176550E+01  0.3394834E+02  0.6698440E+02  0.1002738E+03  0.1648213E+03  0.2299891E+03  0.2956571E+03  0.3617208E+03  0.4280811E+03  0.4946368E+03  0.5612749E+03  0.6278564E+03  0.6941963E+03  0.7082933E+03  0.7223415E+03  0.7363281E+03  0.7502379E+03
           16 -0.3526143E+02 -0.1986484E+01  0.3163115E+02  0.6555196E+02  0.9974534E+02  0.1634499E+03  0.2277684E+03  0.2925963E+03  0.3578454E+03  0.4234353E+03  0.4892888E+03  0.5553259E+03  0.6214554E+03  0.6875637E+03  0.7012804E+03  0.7149575E+03  0.7285773E+03  0.7421203E+03
           17 -0.3996396E+02 -0.5827655E+01  0.2871239E+02  0.6359828E+02  0.9876902E+02  0.1617184E+03  0.2252474E+03  0.2892865E+03  0.3537681E+03  0.4186330E+03  0.4838316E+03  0.5493220E+03  0.6150670E+03  0.6810323E+03  0.6945975E+03  0.7081437E+03  0.7216539E+03  0.7351117E+03
           18 -0.4539001E+02 -0.1032383E+02  0.2522180E+02  0.6116784E+02  0.9742582E+02  0.1596414E+03  0.2224211E+03  0.2857109E+03  0.3494598E+03  0.4136293E+03  0.4781981E+03  0.5431639E+03  0.6085452E+03  0.6743823E+03  0.6880370E+03  0.7016914E+03  0.7153245E+03  0.7289195E+03
