     X                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18
           20  0.9945464E+03  0.9998059E+03  0.1004499E+04  0.1008565E+04  0.1011988E+04  0.1018496E+04  0.1025051E+04  0.1031702E+04  0.1038478E+04  0.1045385E+04  0.1052399E+04  0.1059449E+04  0.1066389E+04  0.1072953E+04  0.1074701E+04  0.1076514E+04  0.1078383E+04  0.1080302E+04
           21  0.1039722E+04  0.1046288E+04  0.1051918E+04  0.1056590E+04  0.1060287E+04  0.1067284E+04  0.1074298E+04  0.1081365E+04  0.1088528E+04  0.1095826E+04  0.1103280E+04  0.1110878E+04  0.1118565E+04  0.1126228E+04  0.1128142E+04  0.1130119E+04  0.1132149E+04  0.1134225E+04
           22  0.1084785E+04  0.1092699E+04  0.1099273E+04  0.1104557E+04  0.1108566E+04  0.1116061E+04  0.1123512E+04  0.1130965E+04  0.1138491E+04  0.1146167E+04  0.1154066E+04  0.1162249E+04  0.1170758E+04  0.1179589E+04  0.1181770E+04  0.1184015E+04  0.1186304E+04  0.1188630E+04
           23  0.1130147E+04  0.1139251E+04  0.1146672E+04  0.1152522E+04  0.1156854E+04  0.1164865E+04  0.1172726E+04  0.1180518E+04  0.1188355E+04  0.1196361E+04  0.1204665E+04  0.1213404E+04  0.1222735E+04  0.1232842E+04  0.1235418E+04  0.1238044E+04  0.1240687E+04  0.1243336E+04
           24  0.1176097E+04  0.1186150E+04  0.1194252E+04  0.1200573E+04  0.1205198E+04  0.1213771E+04  0.1221985E+04  0.1230040E+04  0.1238107E+04  0.1246356E+04  0.1254970E+04  0.1264158E+04  0.1274187E+04  0.1285432E+04  0.1288518E+04  0.1291615E+04  0.1294685E+04  0.1297720E+04
           25  0.1223077E+04  0.1233795E+04  0.1242366E+04  0.1249045E+04  0.1254006E+04  0.1262920E+04  0.1271355E+04  0.1279554E+04  0.1287733E+04  0.1296101E+04  0.1304882E+04  0.1314337E+04  0.1324802E+04  0.1336776E+04  0.1340436E+04  0.1344048E+04  0.1347591E+04  0.1351062E+04
           26  0.1271521E+04  0.1282547E+04  0.1291307E+04  0.1298160E+04  0.1303381E+04  0.1312405E+04  0.1320889E+04  0.1329083E+04  0.1337227E+04  0.1345559E+04  0.1354326E+04  0.1363811E+04  0.1374369E+04  0.1386508E+04  0.1390740E+04  0.1394843E+04  0.1398854E+04  0.1402787E+04
           27  0.1322055E+04  0.1332844E+04  0.1341366E+04  0.1348072E+04  0.1353308E+04  0.1362279E+04  0.1370631E+04  0.1378646E+04  0.1386588E+04  0.1394706E+04  0.1403259E+04  0.1412526E+04  0.1422824E+04  0.1434506E+04  0.1438860E+04  0.1443238E+04  0.1447636E+04  0.1452041E+04
           28  0.1374991E+04  0.1384904E+04  0.1392695E+04  0.1398890E+04  0.1403919E+04  0.1412609E+04  0.1420619E+04  0.1428265E+04  0.1435820E+04  0.1443538E+04  0.1451675E+04  0.1460497E+04  0.1470287E+04  0.1481338E+04  0.1485784E+04  0.1490437E+04  0.1495248E+04  0.1500226E+04
           29  0.1430395E+04  0.1438928E+04  0.1445479E+04  0.1450741E+04  0.1455363E+04  0.1463455E+04  0.1470882E+04  0.1477953E+04  0.1484929E+04  0.1492060E+04  0.1499586E+04  0.1507755E+04  0.1516826E+04  0.1527063E+04  0.1532086E+04  0.1537143E+04  0.1542340E+04  0.1547684E+04
