        5.63230      -18.98037
       55.84986      -18.60874
      129.71318      -18.11021
      191.27340      -17.78123
      250.27897      -17.59992
      306.51750      -17.59362
      362.67290      -17.78084
      416.65780      -18.17859
      469.27964      -18.80819
      520.68072      -19.69099
      571.05642      -20.87176
      620.50031      -22.42019
      669.06868      -24.42233
      716.89226      -26.92690
      764.22997      -30.00603
      811.21508      -33.73455
      857.80262      -38.18130
      903.75483      -43.38601
      949.14165      -49.41251
      994.54644      -56.42204
     1039.72176      -64.47834
     1084.78484      -73.68068
     1130.14746      -84.06031
     1176.09710      -95.43963
     1223.07657     -107.59341
     1271.52141     -120.29040
     1322.05521     -133.18853
     1374.99113     -145.70190
     1430.39527     -156.98513
     1490.06335     -166.39901
     1553.50295     -172.71344
     1617.55506     -174.96237
     1678.75064     -173.03405
     1743.45139     -166.67066
     1804.90348     -157.50005
     1868.26653     -145.01566
     1927.06409     -131.02032
     1984.22675     -115.28151
     2039.58530      -98.26662
     2093.00148      -80.33432
     2145.05277      -61.61216
     2196.06825      -42.24429
     2246.37622      -22.32815
     2296.52627       -1.83860
     2346.86247       19.20561
     2397.14239       40.60701
     2447.51458       62.42122
     2496.70995       84.13208
     2546.29251      106.47426
     2595.55124      129.22727
     2647.89871      154.05751
     2696.38961      177.72385
     2746.68773      202.99354
     2794.07272      227.60984
     2839.67395      252.01894
     2883.60442      276.11417
     2925.71649      299.46869
     2965.74671      321.54455
     3004.12537      342.35322
     3041.06087      361.83411
     3076.59216      379.88276
     3111.25543      396.68314
     3146.37052      412.79219
     3174.36429      424.60126
     3201.90304      435.57559
     3234.53277      447.75224
     3259.82763      456.09713
     3283.58695      463.74168
     3309.86617      471.34883
     3338.60376      479.49423
     3360.86066      484.89903
     3382.71203      490.19598
     3407.91077      495.93930
     3427.80196      500.17036
     3456.79733      506.25302
     3479.44833      510.42335
     3519.17484      517.60434
     3543.40288      521.61564
     3580.74236      527.58215
     3632.08244      535.06489
     3704.34445      544.25209
     3793.71070      553.45565
     3871.43234      559.24264
     3939.70673      562.83074
     4003.32083      564.81756
     4063.92667      565.79435
     4121.35124      566.17192
     4179.62847      566.33965
     4239.67000      566.55332
     4301.15148      567.11109
     4365.35131      568.43283
     4431.22680      571.04512
     4500.09204      575.27848
     4571.13968      581.46599
     4643.74497      589.94586
     4709.51912      600.04148
     4796.27248      617.27824
     4868.33060      635.21148
     4945.10940      658.68016
     5032.20904      692.73271
     5101.08558      726.19881
     5164.48968      762.28434
     5218.66026      797.51023
     5259.59804      826.58141
     5297.83838      857.41742
     5331.47793      885.53719
     5356.19114      908.07467
     5383.83174      933.94064
     5413.65679      963.67753
     5441.48745      991.87616
     5468.89348     1019.88841
     5500.96142     1051.72859
     5534.72264     1082.82118
     5573.77427     1115.44567
     5614.11414     1146.49621
     5655.04218     1176.00287
     5698.08224     1205.54068
     5740.23964     1233.61704
     5781.93818     1261.17582
     5822.61218     1288.40554
     5862.15448     1315.62214
     5900.84782     1342.93781
     5938.95122     1370.20525
     5976.80430     1397.29031
     6014.88483     1424.15569
     6053.61826     1450.71909
     6092.95647     1476.54060
     6132.73233     1501.31950
     6173.32720     1525.64363
     6214.51664     1549.93692
     6255.53096     1574.29839
     6295.86577     1599.00180
     6335.80378     1624.64208
     6374.16500     1650.29254
     6413.16738     1676.33633
     6450.08406     1699.87657
     6488.37456     1722.01072
     6527.75909     1741.52529
     6566.79990     1757.46351
     6610.10148     1771.92010
     6652.31199     1783.70321
     6696.47023     1794.74187
     6743.30430     1806.16232
     6790.76525     1818.48908
     6837.05001     1831.55610
     6883.43487     1845.47182
     6930.81006     1860.24707
     6974.55469     1874.13232
     7018.28662     1887.96338
     7012.78259     1905.32178
     6969.00891     1891.58966
     6925.31616     1877.77063
     6877.72534     1862.85324
     6831.40966     1848.62935
     6785.39650     1834.94765
     6738.48440     1821.57889
     6692.30318     1808.74924
     6648.54754     1796.17336
     6606.51532     1782.92561
     6563.14960     1767.20382
     6523.70445     1750.42756
     6483.78206     1730.54930
     6444.90761     1708.54202
     6407.49507     1685.49380
     6367.86548     1659.97387
     6329.14752     1634.83050
     6289.30462     1609.57605
     6249.05358     1584.83471
     6208.26338     1560.26848
     6167.30883     1535.70436
     6126.75215     1511.06223
     6086.80405     1486.04910
     6047.25039     1460.26823
     6008.29952     1433.97051
     5969.89858     1407.40953
     5931.68996     1380.62390
     5893.33174     1353.66859
     5854.52149     1326.63519
     5814.99206     1299.61322
     5774.45444     1272.52351
     5732.89615     1245.17184
     5690.71315     1217.47591
     5647.32821     1188.64561
     5605.59890     1160.20003
     5563.81744     1130.61609
     5522.52866     1099.82910
     5485.75241     1070.58538
     5450.32143     1040.74514
     5420.00130     1014.36867
     5390.15286      988.14294
     5359.46348      960.96111
     5330.93375      936.21446
     5305.39494      914.24331
     5272.68353      887.18130
     5236.35098      857.63993
     5196.15726      827.51899
     5144.12483      791.24402
     5084.58286      754.32408
     5018.60404      719.12428
     4936.16966      683.45378
     4861.48243      658.13275
     4791.18761      638.79118
     4705.90309      620.11812
     4641.13238      609.20832
     4569.26408      600.04889
     4498.69467      593.40845
     4430.33138      588.89926
     4364.80075      586.03344
     4300.83865      584.37483
     4239.37339      583.36160
     4179.40977      582.55442
     4121.16424      581.63548
     4063.76792      580.43023
     4003.11080      578.75612
     3939.84811      576.75113
     3871.83914      574.61134
     3794.83248      572.70627
     3704.08051      571.66542
     3630.55798      570.24239
     3578.02106      568.00689
     3539.98750      565.26666
     3515.39187      563.15757
     3474.73236      558.19148
     3451.50786      555.17034
