     Y                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42
           31  0.1204929E+06  0.1205237E+06  0.1205841E+06  0.1206428E+06  0.1207009E+06  0.1207379E+06  0.1207539E+06  0.1207699E+06  0.1207860E+06  0.1208021E+06  0.1208181E+06  0.1208341E+06  0.1208501E+06  0.1208661E+06  0.1208820E+06  0.1208978E+06  0.1209136E+06  0.1209293E+06  0.1209450E+06  0.1209606E+06  0.1209761E+06  0.1209915E+06  0.1210069E+06  0.1210222E+06  0.1210374E+06  0.1210526E+06  0.1210676E+06  0.1210827E+06  0.1210976E+06  0.1211125E+06  0.1211273E+06  0.1211420E+06  0.1211567E+06  0.1211713E+06  0.1211859E+06  0.1212004E+06  0.1212149E+06  0.1212293E+06  0.1212437E+06  0.1212643E+06  0.1212912E+06  0.1213045E+06
           32  0.1204819E+06  0.1205155E+06  0.1205803E+06  0.1206417E+06  0.1207028E+06  0.1207411E+06  0.1207563E+06  0.1207717E+06  0.1207872E+06  0.1208029E+06  0.1208187E+06  0.1208344E+06  0.1208502E+06  0.1208660E+06  0.1208818E+06  0.1208975E+06  0.1209132E+06  0.1209288E+06  0.1209444E+06  0.1209599E+06  0.1209753E+06  0.1209907E+06  0.1210059E+06  0.1210211E+06  0.1210363E+06  0.1210513E+06  0.1210663E+06  0.1210812E+06  0.1210960E+06  0.1211107E+06  0.1211254E+06  0.1211400E+06  0.1211545E+06  0.1211689E+06  0.1211832E+06  0.1211975E+06  0.1212117E+06  0.1212258E+06  0.1212399E+06  0.1212605E+06  0.1212874E+06  0.1213008E+06
           33  0.1204780E+06  0.1205123E+06  0.1205784E+06  0.1206408E+06  0.1207026E+06  0.1207416E+06  0.1207566E+06  0.1207720E+06  0.1207875E+06  0.1208031E+06  0.1208189E+06  0.1208346E+06  0.1208504E+06  0.1208662E+06  0.1208819E+06  0.1208976E+06  0.1209133E+06  0.1209289E+06  0.1209444E+06  0.1209598E+06  0.1209752E+06  0.1209905E+06  0.1210057E+06  0.1210208E+06  0.1210359E+06  0.1210508E+06  0.1210657E+06  0.1210804E+06  0.1210951E+06  0.1211097E+06  0.1211242E+06  0.1211386E+06  0.1211529E+06  0.1211671E+06  0.1211812E+06  0.1211952E+06  0.1212091E+06  0.1212228E+06  0.1212364E+06  0.1212568E+06  0.1212838E+06  0.1212972E+06
           34  0.1204810E+06  0.1205140E+06  0.1205783E+06  0.1206399E+06  0.1207003E+06  0.1207387E+06  0.1207546E+06  0.1207706E+06  0.1207866E+06  0.1208027E+06  0.1208187E+06  0.1208347E+06  0.1208507E+06  0.1208666E+06  0.1208824E+06  0.1208982E+06  0.1209139E+06  0.1209295E+06  0.1209450E+06  0.1209605E+06  0.1209758E+06  0.1209911E+06  0.1210062E+06  0.1210213E+06  0.1210362E+06  0.1210511E+06  0.1210658E+06  0.1210805E+06  0.1210951E+06  0.1211095E+06  0.1211239E+06  0.1211381E+06  0.1211522E+06  0.1211663E+06  0.1211802E+06  0.1211940E+06  0.1212076E+06  0.1212211E+06  0.1212345E+06  0.1212548E+06  0.1212817E+06  0.1212950E+06
           35  0.1204855E+06  0.1205174E+06  0.1205799E+06  0.1206398E+06  0.1206977E+06  0.1207348E+06  0.1207518E+06  0.1207687E+06  0.1207855E+06  0.1208022E+06  0.1208188E+06  0.1208352E+06  0.1208515E+06  0.1208676E+06  0.1208836E+06  0.1208995E+06  0.1209153E+06  0.1209310E+06  0.1209465E+06  0.1209620E+06  0.1209773E+06  0.1209925E+06  0.1210076E+06  0.1210226E+06  0.1210375E+06  0.1210523E+06  0.1210670E+06  0.1210815E+06  0.1210960E+06  0.1211103E+06  0.1211245E+06  0.1211386E+06  0.1211526E+06  0.1211665E+06  0.1211803E+06  0.1211939E+06  0.1212075E+06  0.1212209E+06  0.1212343E+06  0.1212545E+06  0.1212811E+06  0.1212943E+06
           36  0.1204944E+06  0.1205251E+06  0.1205852E+06  0.1206426E+06  0.1206972E+06  0.1207306E+06  0.1207496E+06  0.1207679E+06  0.1207857E+06  0.1208031E+06  0.1208202E+06  0.1208369E+06  0.1208535E+06  0.1208698E+06  0.1208860E+06  0.1209020E+06  0.1209178E+06  0.1209335E+06  0.1209491E+06  0.1209645E+06  0.1209798E+06  0.1209950E+06  0.1210100E+06  0.1210250E+06  0.1210398E+06  0.1210545E+06  0.1210691E+06  0.1210835E+06  0.1210979E+06  0.1211121E+06  0.1211262E+06  0.1211401E+06  0.1211540E+06  0.1211677E+06  0.1211813E+06  0.1211948E+06  0.1212082E+06  0.1212215E+06  0.1212347E+06  0.1212545E+06  0.1212807E+06  0.1212937E+06
           37  0.1205086E+06  0.1205376E+06  0.1205947E+06  0.1206496E+06  0.1207018E+06  0.1207342E+06  0.1207534E+06  0.1207718E+06  0.1207896E+06  0.1208070E+06  0.1208241E+06  0.1208408E+06  0.1208574E+06  0.1208737E+06  0.1208898E+06  0.1209058E+06  0.1209216E+06  0.1209373E+06  0.1209528E+06  0.1209682E+06  0.1209834E+06  0.1209986E+06  0.1210136E+06  0.1210284E+06  0.1210432E+06  0.1210578E+06  0.1210723E+06  0.1210867E+06  0.1211009E+06  0.1211150E+06  0.1211290E+06  0.1211428E+06  0.1211565E+06  0.1211701E+06  0.1211835E+06  0.1211967E+06  0.1212097E+06  0.1212226E+06  0.1212353E+06  0.1212552E+06  0.1212809E+06  0.1212935E+06
           38  0.1205238E+06  0.1205515E+06  0.1206064E+06  0.1206601E+06  0.1207122E+06  0.1207463E+06  0.1207635E+06  0.1207805E+06  0.1207974E+06  0.1208141E+06  0.1208306E+06  0.1208470E+06  0.1208632E+06  0.1208793E+06  0.1208953E+06  0.1209111E+06  0.1209268E+06  0.1209423E+06  0.1209578E+06  0.1209731E+06  0.1209883E+06  0.1210033E+06  0.1210183E+06  0.1210331E+06  0.1210478E+06  0.1210623E+06  0.1210767E+06  0.1210910E+06  0.1211052E+06  0.1211192E+06  0.1211331E+06  0.1211468E+06  0.1211604E+06  0.1211738E+06  0.1211871E+06  0.1212001E+06  0.1212130E+06  0.1212257E+06  0.1212382E+06  0.1212576E+06  0.1212827E+06  0.1212950E+06
           39  0.1205371E+06  0.1205643E+06  0.1206183E+06  0.1206716E+06  0.1207244E+06  0.1207587E+06  0.1207746E+06  0.1207906E+06  0.1208066E+06  0.1208226E+06  0.1208386E+06  0.1208545E+06  0.1208704E+06  0.1208862E+06  0.1209020E+06  0.1209176E+06  0.1209331E+06  0.1209486E+06  0.1209639E+06  0.1209791E+06  0.1209942E+06  0.1210092E+06  0.1210241E+06  0.1210389E+06  0.1210535E+06  0.1210680E+06  0.1210824E+06  0.1210966E+06  0.1211107E+06  0.1211247E+06  0.1211385E+06  0.1211522E+06  0.1211657E+06  0.1211791E+06  0.1211923E+06  0.1212054E+06  0.1212183E+06  0.1212311E+06  0.1212438E+06  0.1212624E+06  0.1212869E+06  0.1212990E+06
           40  0.1205487E+06  0.1205755E+06  0.1206287E+06  0.1206815E+06  0.1207347E+06  0.1207699E+06  0.1207851E+06  0.1208004E+06  0.1208158E+06  0.1208314E+06  0.1208470E+06  0.1208627E+06  0.1208783E+06  0.1208939E+06  0.1209095E+06  0.1209250E+06  0.1209404E+06  0.1209558E+06  0.1209711E+06  0.1209862E+06  0.1210013E+06  0.1210163E+06  0.1210311E+06  0.1210458E+06  0.1210604E+06  0.1210749E+06  0.1210893E+06  0.1211035E+06  0.1211176E+06  0.1211315E+06  0.1211453E+06  0.1211589E+06  0.1211724E+06  0.1211858E+06  0.1211989E+06  0.1212119E+06  0.1212248E+06  0.1212375E+06  0.1212501E+06  0.1212684E+06  0.1212923E+06  0.1213041E+06
           41  0.1205612E+06  0.1205871E+06  0.1206385E+06  0.1206901E+06  0.1207427E+06  0.1207787E+06  0.1207937E+06  0.1208088E+06  0.1208242E+06  0.1208396E+06  0.1208552E+06  0.1208708E+06  0.1208864E+06  0.1209020E+06  0.1209175E+06  0.1209330E+06  0.1209485E+06  0.1209638E+06  0.1209791E+06  0.1209943E+06  0.1210094E+06  0.1210243E+06  0.1210392E+06  0.1210539E+06  0.1210686E+06  0.1210831E+06  0.1210974E+06  0.1211116E+06  0.1211257E+06  0.1211397E+06  0.1211535E+06  0.1211671E+06  0.1211806E+06  0.1211939E+06  0.1212070E+06  0.1212200E+06  0.1212327E+06  0.1212452E+06  0.1212574E+06  0.1212754E+06  0.1212985E+06  0.1213099E+06
           42  0.1205758E+06  0.1206002E+06  0.1206491E+06  0.1206987E+06  0.1207496E+06  0.1207842E+06  0.1207998E+06  0.1208155E+06  0.1208313E+06  0.1208471E+06  0.1208630E+06  0.1208788E+06  0.1208946E+06  0.1209104E+06  0.1209261E+06  0.1209417E+06  0.1209573E+06  0.1209727E+06  0.1209881E+06  0.1210033E+06  0.1210185E+06  0.1210335E+06  0.1210484E+06  0.1210632E+06  0.1210779E+06  0.1210924E+06  0.1211068E+06  0.1211211E+06  0.1211352E+06  0.1211492E+06  0.1211631E+06  0.1211768E+06  0.1211904E+06  0.1212037E+06  0.1212170E+06  0.1212300E+06  0.1212428E+06  0.1212554E+06  0.1212678E+06  0.1212855E+06  0.1213078E+06  0.1213188E+06
           43  0.1205926E+06  0.1206154E+06  0.1206614E+06  0.1207081E+06  0.1207557E+06  0.1207881E+06  0.1208048E+06  0.1208214E+06  0.1208380E+06  0.1208545E+06  0.1208709E+06  0.1208871E+06  0.1209033E+06  0.1209194E+06  0.1209353E+06  0.1209512E+06  0.1209669E+06  0.1209825E+06  0.1209980E+06  0.1210134E+06  0.1210286E+06  0.1210438E+06  0.1210588E+06  0.1210736E+06  0.1210884E+06  0.1211030E+06  0.1211175E+06  0.1211319E+06  0.1211461E+06  0.1211602E+06  0.1211742E+06  0.1211880E+06  0.1212017E+06  0.1212152E+06  0.1212286E+06  0.1212419E+06  0.1212550E+06  0.1212680E+06  0.1212810E+06  0.1212984E+06  0.1213201E+06  0.1213310E+06
           44  0.1206130E+06  0.1206342E+06  0.1206766E+06  0.1207193E+06  0.1207621E+06  0.1207924E+06  0.1208104E+06  0.1208281E+06  0.1208456E+06  0.1208627E+06  0.1208797E+06  0.1208965E+06  0.1209130E+06  0.1209294E+06  0.1209457E+06  0.1209618E+06  0.1209777E+06  0.1209935E+06  0.1210091E+06  0.1210246E+06  0.1210400E+06  0.1210552E+06  0.1210703E+06  0.1210853E+06  0.1211001E+06  0.1211149E+06  0.1211294E+06  0.1211439E+06  0.1211582E+06  0.1211724E+06  0.1211865E+06  0.1212005E+06  0.1212143E+06  0.1212280E+06  0.1212415E+06  0.1212550E+06  0.1212683E+06  0.1212815E+06  0.1212946E+06  0.1213120E+06  0.1213335E+06  0.1213442E+06
           45  0.1206380E+06  0.1206572E+06  0.1206958E+06  0.1207342E+06  0.1207721E+06  0.1208002E+06  0.1208191E+06  0.1208375E+06  0.1208555E+06  0.1208731E+06  0.1208905E+06  0.1209076E+06  0.1209244E+06  0.1209411E+06  0.1209575E+06  0.1209738E+06  0.1209899E+06  0.1210058E+06  0.1210216E+06  0.1210372E+06  0.1210526E+06  0.1210680E+06  0.1210831E+06  0.1210982E+06  0.1211131E+06  0.1211279E+06  0.1211426E+06  0.1211571E+06  0.1211716E+06  0.1211859E+06  0.1212001E+06  0.1212141E+06  0.1212281E+06  0.1212419E+06  0.1212557E+06  0.1212693E+06  0.1212828E+06  0.1212962E+06  0.1213095E+06  0.1213270E+06  0.1213485E+06  0.1213591E+06
           46  0.1206649E+06  0.1206824E+06  0.1207174E+06  0.1207525E+06  0.1207873E+06  0.1208140E+06  0.1208325E+06  0.1208508E+06  0.1208687E+06  0.1208864E+06  0.1209038E+06  0.1209210E+06  0.1209379E+06  0.1209546E+06  0.1209712E+06  0.1209875E+06  0.1210037E+06  0.1210196E+06  0.1210355E+06  0.1210511E+06  0.1210666E+06  0.1210820E+06  0.1210972E+06  0.1211123E+06  0.1211273E+06  0.1211422E+06  0.1211569E+06  0.1211715E+06  0.1211860E+06  0.1212004E+06  0.1212147E+06  0.1212289E+06  0.1212430E+06  0.1212570E+06  0.1212709E+06  0.1212847E+06  0.1212985E+06  0.1213121E+06  0.1213258E+06  0.1213437E+06  0.1213657E+06  0.1213766E+06
           47  0.1206905E+06  0.1207068E+06  0.1207394E+06  0.1207722E+06  0.1208050E+06  0.1208306E+06  0.1208488E+06  0.1208668E+06  0.1208846E+06  0.1209022E+06  0.1209195E+06  0.1209366E+06  0.1209535E+06  0.1209702E+06  0.1209867E+06  0.1210030E+06  0.1210191E+06  0.1210351E+06  0.1210509E+06  0.1210665E+06  0.1210820E+06  0.1210974E+06  0.1211126E+06  0.1211277E+06  0.1211427E+06  0.1211576E+06  0.1211724E+06  0.1211870E+06  0.1212016E+06  0.1212160E+06  0.1212304E+06  0.1212447E+06  0.1212588E+06  0.1212729E+06  0.1212870E+06  0.1213009E+06  0.1213148E+06  0.1213286E+06  0.1213424E+06  0.1213608E+06  0.1213837E+06  0.1213951E+06
           48  0.1207184E+06  0.1207337E+06  0.1207642E+06  0.1207945E+06  0.1208243E+06  0.1208482E+06  0.1208668E+06  0.1208849E+06  0.1209027E+06  0.1209202E+06  0.1209374E+06  0.1209544E+06  0.1209711E+06  0.1209877E+06  0.1210040E+06  0.1210202E+06  0.1210362E+06  0.1210520E+06  0.1210677E+06  0.1210833E+06  0.1210987E+06  0.1211140E+06  0.1211292E+06  0.1211443E+06  0.1211592E+06  0.1211741E+06  0.1211888E+06  0.1212035E+06  0.1212181E+06  0.1212325E+06  0.1212469E+06  0.1212612E+06  0.1212755E+06  0.1212896E+06  0.1213037E+06  0.1213178E+06  0.1213317E+06  0.1213456E+06  0.1213594E+06  0.1213782E+06  0.1214020E+06  0.1214138E+06
           49  0.1207487E+06  0.1207633E+06  0.1207922E+06  0.1208208E+06  0.1208486E+06  0.1208711E+06  0.1208890E+06  0.1209065E+06  0.1209238E+06  0.1209409E+06  0.1209577E+06  0.1209743E+06  0.1209907E+06  0.1210070E+06  0.1210231E+06  0.1210390E+06  0.1210548E+06  0.1210705E+06  0.1210860E+06  0.1211014E+06  0.1211167E+06  0.1211319E+06  0.1211469E+06  0.1211619E+06  0.1211768E+06  0.1211915E+06  0.1212062E+06  0.1212209E+06  0.1212354E+06  0.1212499E+06  0.1212643E+06  0.1212786E+06  0.1212928E+06  0.1213071E+06  0.1213212E+06  0.1213353E+06  0.1213493E+06  0.1213633E+06  0.1213772E+06  0.1213966E+06  0.1214212E+06  0.1214334E+06
           50  0.1207769E+06  0.1207911E+06  0.1208195E+06  0.1208476E+06  0.1208754E+06  0.1208976E+06  0.1209142E+06  0.1209308E+06  0.1209473E+06  0.1209637E+06  0.1209799E+06  0.1209960E+06  0.1210120E+06  0.1210279E+06  0.1210436E+06  0.1210593E+06  0.1210748E+06  0.1210902E+06  0.1211055E+06  0.1211206E+06  0.1211357E+06  0.1211507E+06  0.1211656E+06  0.1211804E+06  0.1211952E+06  0.1212098E+06  0.1212244E+06  0.1212390E+06  0.1212534E+06  0.1212679E+06  0.1212822E+06  0.1212965E+06  0.1213108E+06  0.1213250E+06  0.1213392E+06  0.1213534E+06  0.1213675E+06  0.1213817E+06  0.1213958E+06  0.1214157E+06  0.1214412E+06  0.1214539E+06
           51  0.1208046E+06  0.1208188E+06  0.1208471E+06  0.1208749E+06  0.1209021E+06  0.1209237E+06  0.1209399E+06  0.1209559E+06  0.1209719E+06  0.1209877E+06  0.1210034E+06  0.1210191E+06  0.1210346E+06  0.1210500E+06  0.1210654E+06  0.1210807E+06  0.1210958E+06  0.1211109E+06  0.1211259E+06  0.1211408E+06  0.1211557E+06  0.1211704E+06  0.1211851E+06  0.1211998E+06  0.1212143E+06  0.1212288E+06  0.1212433E+06  0.1212577E+06  0.1212720E+06  0.1212864E+06  0.1213006E+06  0.1213149E+06  0.1213291E+06  0.1213433E+06  0.1213575E+06  0.1213717E+06  0.1213859E+06  0.1214002E+06  0.1214145E+06  0.1214349E+06  0.1214616E+06  0.1214748E+06
           52  0.1208324E+06  0.1208467E+06  0.1208752E+06  0.1209031E+06  0.1209300E+06  0.1209511E+06  0.1209666E+06  0.1209821E+06  0.1209975E+06  0.1210127E+06  0.1210279E+06  0.1210431E+06  0.1210581E+06  0.1210731E+06  0.1210881E+06  0.1211029E+06  0.1211177E+06  0.1211325E+06  0.1211472E+06  0.1211618E+06  0.1211764E+06  0.1211909E+06  0.1212053E+06  0.1212197E+06  0.1212341E+06  0.1212484E+06  0.1212626E+06  0.1212769E+06  0.1212911E+06  0.1213052E+06  0.1213193E+06  0.1213335E+06  0.1213476E+06  0.1213617E+06  0.1213758E+06  0.1213899E+06  0.1214041E+06  0.1214183E+06  0.1214326E+06  0.1214540E+06  0.1214823E+06  0.1214962E+06
           53  0.1208586E+06  0.1208734E+06  0.1209026E+06  0.1209312E+06  0.1209589E+06  0.1209799E+06  0.1209945E+06  0.1210092E+06  0.1210238E+06  0.1210385E+06  0.1210531E+06  0.1210677E+06  0.1210823E+06  0.1210968E+06  0.1211113E+06  0.1211258E+06  0.1211402E+06  0.1211546E+06  0.1211690E+06  0.1211833E+06  0.1211976E+06  0.1212118E+06  0.1212260E+06  0.1212402E+06  0.1212543E+06  0.1212684E+06  0.1212824E+06  0.1212964E+06  0.1213104E+06  0.1213243E+06  0.1213382E+06  0.1213521E+06  0.1213660E+06  0.1213799E+06  0.1213938E+06  0.1214077E+06  0.1214217E+06  0.1214356E+06  0.1214497E+06  0.1214722E+06  0.1215026E+06  0.1215175E+06
           54  0.1208832E+06  0.1208985E+06  0.1209289E+06  0.1209585E+06  0.1209874E+06  0.1210085E+06  0.1210224E+06  0.1210363E+06  0.1210503E+06  0.1210644E+06  0.1210785E+06  0.1210926E+06  0.1211067E+06  0.1211209E+06  0.1211350E+06  0.1211491E+06  0.1211631E+06  0.1211772E+06  0.1211912E+06  0.1212053E+06  0.1212192E+06  0.1212332E+06  0.1212471E+06  0.1212610E+06  0.1212749E+06  0.1212887E+06  0.1213025E+06  0.1213162E+06  0.1213300E+06  0.1213436E+06  0.1213573E+06  0.1213709E+06  0.1213845E+06  0.1213981E+06  0.1214117E+06  0.1214253E+06  0.1214388E+06  0.1214524E+06  0.1214661E+06  0.1214895E+06  0.1215222E+06  0.1215382E+06
           55  0.1209060E+06  0.1209218E+06  0.1209532E+06  0.1209840E+06  0.1210142E+06  0.1210358E+06  0.1210493E+06  0.1210628E+06  0.1210764E+06  0.1210900E+06  0.1211037E+06  0.1211175E+06  0.1211312E+06  0.1211450E+06  0.1211587E+06  0.1211725E+06  0.1211863E+06  0.1212000E+06  0.1212137E+06  0.1212275E+06  0.1212412E+06  0.1212549E+06  0.1212685E+06  0.1212822E+06  0.1212958E+06  0.1213093E+06  0.1213229E+06  0.1213364E+06  0.1213499E+06  0.1213633E+06  0.1213767E+06  0.1213900E+06  0.1214033E+06  0.1214165E+06  0.1214296E+06  0.1214427E+06  0.1214558E+06  0.1214688E+06  0.1214818E+06  0.1215061E+06  0.1215409E+06  0.1215579E+06
           56  0.1209279E+06  0.1209442E+06  0.1209766E+06  0.1210085E+06  0.1210399E+06  0.1210621E+06  0.1210753E+06  0.1210886E+06  0.1211019E+06  0.1211153E+06  0.1211287E+06  0.1211421E+06  0.1211556E+06  0.1211690E+06  0.1211825E+06  0.1211960E+06  0.1212094E+06  0.1212229E+06  0.1212364E+06  0.1212499E+06  0.1212633E+06  0.1212768E+06  0.1212902E+06  0.1213036E+06  0.1213170E+06  0.1213303E+06  0.1213437E+06  0.1213570E+06  0.1213702E+06  0.1213834E+06  0.1213965E+06  0.1214096E+06  0.1214225E+06  0.1214354E+06  0.1214481E+06  0.1214607E+06  0.1214731E+06  0.1214853E+06  0.1214971E+06  0.1215221E+06  0.1215575E+06  0.1215750E+06
           57  0.1209499E+06  0.1209667E+06  0.1210001E+06  0.1210329E+06  0.1210652E+06  0.1210877E+06  0.1211008E+06  0.1211139E+06  0.1211270E+06  0.1211402E+06  0.1211534E+06  0.1211665E+06  0.1211797E+06  0.1211929E+06  0.1212062E+06  0.1212194E+06  0.1212326E+06  0.1212459E+06  0.1212591E+06  0.1212724E+06  0.1212856E+06  0.1212988E+06  0.1213121E+06  0.1213253E+06  0.1213385E+06  0.1213517E+06  0.1213648E+06  0.1213780E+06  0.1213910E+06  0.1214041E+06  0.1214171E+06  0.1214300E+06  0.1214428E+06  0.1214556E+06  0.1214682E+06  0.1214806E+06  0.1214929E+06  0.1215049E+06  0.1215166E+06  0.1215405E+06  0.1215748E+06  0.1215921E+06
           58  0.1209722E+06  0.1209894E+06  0.1210237E+06  0.1210573E+06  0.1210902E+06  0.1211130E+06  0.1211260E+06  0.1211390E+06  0.1211519E+06  0.1211649E+06  0.1211779E+06  0.1211908E+06  0.1212038E+06  0.1212168E+06  0.1212298E+06  0.1212428E+06  0.1212558E+06  0.1212688E+06  0.1212818E+06  0.1212949E+06  0.1213079E+06  0.1213210E+06  0.1213341E+06  0.1213471E+06  0.1213602E+06  0.1213733E+06  0.1213863E+06  0.1213994E+06  0.1214124E+06  0.1214254E+06  0.1214383E+06  0.1214513E+06  0.1214642E+06  0.1214770E+06  0.1214898E+06  0.1215025E+06  0.1215151E+06  0.1215276E+06  0.1215401E+06  0.1215625E+06  0.1215955E+06  0.1216122E+06
           59  0.1209946E+06  0.1210126E+06  0.1210483E+06  0.1210828E+06  0.1211158E+06  0.1211384E+06  0.1211513E+06  0.1211641E+06  0.1211769E+06  0.1211896E+06  0.1212023E+06  0.1212150E+06  0.1212278E+06  0.1212405E+06  0.1212533E+06  0.1212660E+06  0.1212788E+06  0.1212916E+06  0.1213045E+06  0.1213173E+06  0.1213302E+06  0.1213431E+06  0.1213560E+06  0.1213690E+06  0.1213819E+06  0.1213949E+06  0.1214079E+06  0.1214209E+06  0.1214339E+06  0.1214470E+06  0.1214600E+06  0.1214730E+06  0.1214861E+06  0.1214991E+06  0.1215122E+06  0.1215252E+06  0.1215382E+06  0.1215512E+06  0.1215642E+06  0.1215860E+06  0.1216174E+06  0.1216335E+06
           60  0.1210162E+06  0.1210353E+06  0.1210729E+06  0.1211089E+06  0.1211427E+06  0.1211650E+06  0.1211774E+06  0.1211898E+06  0.1212021E+06  0.1212145E+06  0.1212268E+06  0.1212392E+06  0.1212516E+06  0.1212641E+06  0.1212766E+06  0.1212891E+06  0.1213016E+06  0.1213142E+06  0.1213269E+06  0.1213396E+06  0.1213523E+06  0.1213650E+06  0.1213778E+06  0.1213907E+06  0.1214035E+06  0.1214164E+06  0.1214294E+06  0.1214424E+06  0.1214554E+06  0.1214685E+06  0.1214816E+06  0.1214947E+06  0.1215080E+06  0.1215213E+06  0.1215346E+06  0.1215481E+06  0.1215616E+06  0.1215753E+06  0.1215892E+06  0.1216108E+06  0.1216415E+06  0.1216572E+06
           61  0.1210349E+06  0.1210550E+06  0.1210946E+06  0.1211329E+06  0.1211692E+06  0.1211923E+06  0.1212039E+06  0.1212156E+06  0.1212274E+06  0.1212392E+06  0.1212511E+06  0.1212631E+06  0.1212752E+06  0.1212873E+06  0.1212995E+06  0.1213117E+06  0.1213241E+06  0.1213364E+06  0.1213489E+06  0.1213614E+06  0.1213739E+06  0.1213865E+06  0.1213992E+06  0.1214119E+06  0.1214247E+06  0.1214376E+06  0.1214505E+06  0.1214634E+06  0.1214764E+06  0.1214895E+06  0.1215027E+06  0.1215159E+06  0.1215292E+06  0.1215426E+06  0.1215561E+06  0.1215698E+06  0.1215836E+06  0.1215977E+06  0.1216120E+06  0.1216343E+06  0.1216656E+06  0.1216813E+06
           62  0.1210507E+06  0.1210718E+06  0.1211136E+06  0.1211544E+06  0.1211938E+06  0.1212185E+06  0.1212294E+06  0.1212405E+06  0.1212518E+06  0.1212632E+06  0.1212747E+06  0.1212863E+06  0.1212980E+06  0.1213098E+06  0.1213217E+06  0.1213337E+06  0.1213458E+06  0.1213580E+06  0.1213703E+06  0.1213826E+06  0.1213950E+06  0.1214075E+06  0.1214200E+06  0.1214327E+06  0.1214453E+06  0.1214581E+06  0.1214709E+06  0.1214838E+06  0.1214968E+06  0.1215098E+06  0.1215229E+06  0.1215361E+06  0.1215494E+06  0.1215627E+06  0.1215762E+06  0.1215898E+06  0.1216034E+06  0.1216172E+06  0.1216311E+06  0.1216545E+06  0.1216871E+06  0.1217032E+06
           63  0.1210649E+06  0.1210870E+06  0.1211308E+06  0.1211740E+06  0.1212164E+06  0.1212431E+06  0.1212534E+06  0.1212640E+06  0.1212749E+06  0.1212859E+06  0.1212970E+06  0.1213084E+06  0.1213198E+06  0.1213314E+06  0.1213431E+06  0.1213549E+06  0.1213668E+06  0.1213788E+06  0.1213909E+06  0.1214031E+06  0.1214153E+06  0.1214277E+06  0.1214401E+06  0.1214527E+06  0.1214653E+06  0.1214779E+06  0.1214907E+06  0.1215035E+06  0.1215164E+06  0.1215293E+06  0.1215424E+06  0.1215555E+06  0.1215687E+06  0.1215819E+06  0.1215952E+06  0.1216086E+06  0.1216220E+06  0.1216355E+06  0.1216491E+06  0.1216731E+06  0.1217072E+06  0.1217241E+06
           64  0.1210771E+06  0.1211000E+06  0.1211456E+06  0.1211908E+06  0.1212355E+06  0.1212648E+06  0.1212750E+06  0.1212855E+06  0.1212961E+06  0.1213070E+06  0.1213180E+06  0.1213291E+06  0.1213404E+06  0.1213518E+06  0.1213633E+06  0.1213750E+06  0.1213867E+06  0.1213986E+06  0.1214106E+06  0.1214226E+06  0.1214348E+06  0.1214471E+06  0.1214594E+06  0.1214719E+06  0.1214844E+06  0.1214970E+06  0.1215097E+06  0.1215224E+06  0.1215352E+06  0.1215481E+06  0.1215611E+06  0.1215741E+06  0.1215872E+06  0.1216003E+06  0.1216135E+06  0.1216267E+06  0.1216400E+06  0.1216533E+06  0.1216666E+06  0.1216911E+06  0.1217265E+06  0.1217441E+06
           65  0.1210891E+06  0.1211127E+06  0.1211599E+06  0.1212071E+06  0.1212539E+06  0.1212840E+06  0.1212944E+06  0.1213049E+06  0.1213156E+06  0.1213264E+06  0.1213373E+06  0.1213484E+06  0.1213596E+06  0.1213709E+06  0.1213823E+06  0.1213939E+06  0.1214055E+06  0.1214173E+06  0.1214292E+06  0.1214412E+06  0.1214533E+06  0.1214655E+06  0.1214778E+06  0.1214902E+06  0.1215027E+06  0.1215152E+06  0.1215279E+06  0.1215406E+06  0.1215534E+06  0.1215663E+06  0.1215792E+06  0.1215922E+06  0.1216052E+06  0.1216183E+06  0.1216314E+06  0.1216445E+06  0.1216577E+06  0.1216708E+06  0.1216840E+06  0.1217088E+06  0.1217453E+06  0.1217635E+06
           66  0.1211003E+06  0.1211246E+06  0.1211732E+06  0.1212223E+06  0.1212718E+06  0.1213020E+06  0.1213125E+06  0.1213230E+06  0.1213337E+06  0.1213445E+06  0.1213553E+06  0.1213663E+06  0.1213775E+06  0.1213887E+06  0.1214001E+06  0.1214116E+06  0.1214232E+06  0.1214349E+06  0.1214468E+06  0.1214587E+06  0.1214708E+06  0.1214830E+06  0.1214952E+06  0.1215076E+06  0.1215201E+06  0.1215326E+06  0.1215453E+06  0.1215580E+06  0.1215708E+06  0.1215837E+06  0.1215967E+06  0.1216097E+06  0.1216227E+06  0.1216358E+06  0.1216490E+06  0.1216622E+06  0.1216753E+06  0.1216885E+06  0.1217017E+06  0.1217266E+06  0.1217635E+06  0.1217821E+06
