     Y                     1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42
           11  0.1206335E+06  0.1206509E+06  0.1206859E+06  0.1207213E+06  0.1207573E+06  0.1207842E+06  0.1208017E+06  0.1208194E+06  0.1208373E+06  0.1208552E+06  0.1208733E+06  0.1208915E+06  0.1209097E+06  0.1209280E+06  0.1209464E+06  0.1209647E+06  0.1209831E+06  0.1210016E+06  0.1210200E+06  0.1210385E+06  0.1210570E+06  0.1210754E+06  0.1210939E+06  0.1211124E+06  0.1211309E+06  0.1211494E+06  0.1211680E+06  0.1211865E+06  0.1212050E+06  0.1212235E+06  0.1212420E+06  0.1212605E+06  0.1212791E+06  0.1212976E+06  0.1213162E+06  0.1213349E+06  0.1213536E+06  0.1213724E+06  0.1213914E+06  0.1214103E+06  0.1214294E+06  0.1214390E+06
           12  0.1206326E+06  0.1206507E+06  0.1206871E+06  0.1207240E+06  0.1207614E+06  0.1207887E+06  0.1208057E+06  0.1208228E+06  0.1208400E+06  0.1208573E+06  0.1208748E+06  0.1208923E+06  0.1209099E+06  0.1209276E+06  0.1209453E+06  0.1209631E+06  0.1209810E+06  0.1209988E+06  0.1210167E+06  0.1210347E+06  0.1210526E+06  0.1210705E+06  0.1210885E+06  0.1211065E+06  0.1211244E+06  0.1211424E+06  0.1211603E+06  0.1211783E+06  0.1211962E+06  0.1212141E+06  0.1212320E+06  0.1212499E+06  0.1212678E+06  0.1212856E+06  0.1213035E+06  0.1213214E+06  0.1213393E+06  0.1213573E+06  0.1213754E+06  0.1213937E+06  0.1214124E+06  0.1214219E+06
           13  0.1206316E+06  0.1206502E+06  0.1206876E+06  0.1207256E+06  0.1207642E+06  0.1207919E+06  0.1208085E+06  0.1208251E+06  0.1208418E+06  0.1208586E+06  0.1208755E+06  0.1208925E+06  0.1209095E+06  0.1209267E+06  0.1209439E+06  0.1209612E+06  0.1209785E+06  0.1209959E+06  0.1210133E+06  0.1210307E+06  0.1210481E+06  0.1210656E+06  0.1210830E+06  0.1211005E+06  0.1211179E+06  0.1211354E+06  0.1211528E+06  0.1211702E+06  0.1211875E+06  0.1212049E+06  0.1212221E+06  0.1212394E+06  0.1212565E+06  0.1212736E+06  0.1212907E+06  0.1213076E+06  0.1213245E+06  0.1213413E+06  0.1213580E+06  0.1213756E+06  0.1213941E+06  0.1214034E+06
           14  0.1206307E+06  0.1206494E+06  0.1206873E+06  0.1207264E+06  0.1207665E+06  0.1207948E+06  0.1208107E+06  0.1208267E+06  0.1208428E+06  0.1208591E+06  0.1208755E+06  0.1208920E+06  0.1209086E+06  0.1209253E+06  0.1209420E+06  0.1209588E+06  0.1209757E+06  0.1209926E+06  0.1210096E+06  0.1210265E+06  0.1210435E+06  0.1210606E+06  0.1210776E+06  0.1210946E+06  0.1211115E+06  0.1211285E+06  0.1211454E+06  0.1211623E+06  0.1211792E+06  0.1211959E+06  0.1212126E+06  0.1212293E+06  0.1212458E+06  0.1212622E+06  0.1212785E+06  0.1212946E+06  0.1213105E+06  0.1213262E+06  0.1213417E+06  0.1213587E+06  0.1213774E+06  0.1213866E+06
           15  0.1206285E+06  0.1206474E+06  0.1206860E+06  0.1207260E+06  0.1207674E+06  0.1207969E+06  0.1208119E+06  0.1208273E+06  0.1208429E+06  0.1208587E+06  0.1208746E+06  0.1208907E+06  0.1209069E+06  0.1209232E+06  0.1209396E+06  0.1209560E+06  0.1209725E+06  0.1209891E+06  0.1210057E+06  0.1210223E+06  0.1210389E+06  0.1210555E+06  0.1210721E+06  0.1210888E+06  0.1211054E+06  0.1211219E+06  0.1211384E+06  0.1211549E+06  0.1211713E+06  0.1211876E+06  0.1212039E+06  0.1212200E+06  0.1212360E+06  0.1212518E+06  0.1212675E+06  0.1212829E+06  0.1212981E+06  0.1213130E+06  0.1213275E+06  0.1213443E+06  0.1213632E+06  0.1213724E+06
           16  0.1206239E+06  0.1206435E+06  0.1206831E+06  0.1207239E+06  0.1207660E+06  0.1207957E+06  0.1208107E+06  0.1208259E+06  0.1208413E+06  0.1208569E+06  0.1208726E+06  0.1208885E+06  0.1209044E+06  0.1209205E+06  0.1209366E+06  0.1209528E+06  0.1209690E+06  0.1209853E+06  0.1210016E+06  0.1210179E+06  0.1210342E+06  0.1210505E+06  0.1210668E+06  0.1210831E+06  0.1210994E+06  0.1211157E+06  0.1211319E+06  0.1211480E+06  0.1211641E+06  0.1211801E+06  0.1211960E+06  0.1212117E+06  0.1212274E+06  0.1212429E+06  0.1212581E+06  0.1212732E+06  0.1212880E+06  0.1213025E+06  0.1213166E+06  0.1213339E+06  0.1213534E+06  0.1213628E+06
           17  0.1206182E+06  0.1206384E+06  0.1206791E+06  0.1207206E+06  0.1207628E+06  0.1207919E+06  0.1208073E+06  0.1208228E+06  0.1208383E+06  0.1208540E+06  0.1208697E+06  0.1208854E+06  0.1209013E+06  0.1209172E+06  0.1209331E+06  0.1209491E+06  0.1209651E+06  0.1209812E+06  0.1209973E+06  0.1210134E+06  0.1210295E+06  0.1210456E+06  0.1210617E+06  0.1210777E+06  0.1210938E+06  0.1211098E+06  0.1211258E+06  0.1211417E+06  0.1211575E+06  0.1211733E+06  0.1211890E+06  0.1212046E+06  0.1212201E+06  0.1212355E+06  0.1212507E+06  0.1212657E+06  0.1212806E+06  0.1212953E+06  0.1213097E+06  0.1213276E+06  0.1213480E+06  0.1213579E+06
           18  0.1206121E+06  0.1206328E+06  0.1206743E+06  0.1207163E+06  0.1207587E+06  0.1207878E+06  0.1208034E+06  0.1208190E+06  0.1208347E+06  0.1208504E+06  0.1208661E+06  0.1208818E+06  0.1208976E+06  0.1209134E+06  0.1209293E+06  0.1209452E+06  0.1209611E+06  0.1209770E+06  0.1209929E+06  0.1210088E+06  0.1210248E+06  0.1210407E+06  0.1210566E+06  0.1210725E+06  0.1210884E+06  0.1211043E+06  0.1211201E+06  0.1211359E+06  0.1211516E+06  0.1211673E+06  0.1211829E+06  0.1211985E+06  0.1212139E+06  0.1212293E+06  0.1212447E+06  0.1212599E+06  0.1212750E+06  0.1212901E+06  0.1213051E+06  0.1213232E+06  0.1213444E+06  0.1213550E+06
           19  0.1206058E+06  0.1206267E+06  0.1206689E+06  0.1207115E+06  0.1207543E+06  0.1207837E+06  0.1207994E+06  0.1208151E+06  0.1208308E+06  0.1208465E+06  0.1208622E+06  0.1208779E+06  0.1208937E+06  0.1209094E+06  0.1209252E+06  0.1209410E+06  0.1209568E+06  0.1209726E+06  0.1209884E+06  0.1210043E+06  0.1210201E+06  0.1210359E+06  0.1210517E+06  0.1210675E+06  0.1210833E+06  0.1210990E+06  0.1211148E+06  0.1211305E+06  0.1211461E+06  0.1211618E+06  0.1211774E+06  0.1211929E+06  0.1212084E+06  0.1212239E+06  0.1212393E+06  0.1212547E+06  0.1212701E+06  0.1212855E+06  0.1213008E+06  0.1213193E+06  0.1213410E+06  0.1213518E+06
           20  0.1205988E+06  0.1206201E+06  0.1206629E+06  0.1207063E+06  0.1207500E+06  0.1207797E+06  0.1207954E+06  0.1208111E+06  0.1208268E+06  0.1208425E+06  0.1208582E+06  0.1208739E+06  0.1208896E+06  0.1209053E+06  0.1209210E+06  0.1209367E+06  0.1209525E+06  0.1209682E+06  0.1209840E+06  0.1209997E+06  0.1210155E+06  0.1210312E+06  0.1210469E+06  0.1210627E+06  0.1210784E+06  0.1210940E+06  0.1211097E+06  0.1211254E+06  0.1211410E+06  0.1211566E+06  0.1211722E+06  0.1211877E+06  0.1212033E+06  0.1212188E+06  0.1212343E+06  0.1212498E+06  0.1212653E+06  0.1212809E+06  0.1212965E+06  0.1213152E+06  0.1213375E+06  0.1213486E+06
