     zb                    1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42
           11  0.2174995E+02  0.1493682E+02  0.1398176E+02  0.1450663E+02  0.1441741E+02  0.1380946E+02  0.1199011E+02  0.1117468E+02  0.1108793E+02  0.1196910E+02  0.1233640E+02  0.1244457E+02  0.1189170E+02  0.1189367E+02  0.1153760E+02  0.1122118E+02  0.1105591E+02  0.1034057E+02  0.1028106E+02  0.1036138E+02  0.1004374E+02  0.1062533E+02  0.1210976E+02  0.1176954E+02  0.1096764E+02  0.1019425E+02  0.1002890E+02  0.9326564E+01  0.9252874E+01  0.9088230E+01  0.9260665E+01  0.8621296E+01  0.6115547E+01  0.5893007E+01  0.5662566E+01  0.5030700E+01  0.4528800E+01  0.4858944E+01  0.9120434E+01  0.1272647E+02  0.1760032E+02  0.2125174E+02
           12  0.2169268E+02  0.1445498E+02  0.1392099E+02  0.1453271E+02  0.1393242E+02  0.1277870E+02  0.1220953E+02  0.1135204E+02  0.1156516E+02  0.1195227E+02  0.1257459E+02  0.1262470E+02  0.1228738E+02  0.1162364E+02  0.1133901E+02  0.1130308E+02  0.1041140E+02  0.1064451E+02  0.1057492E+02  0.1062972E+02  0.1019320E+02  0.1047307E+02  0.1188754E+02  0.1144735E+02  0.1053148E+02  0.1000434E+02  0.9600268E+01  0.8878691E+01  0.8928772E+01  0.8987071E+01  0.9311517E+01  0.8546131E+01  0.5560118E+01  0.5159992E+01  0.5647110E+01  0.5144067E+01  0.4121300E+01  0.4787256E+01  0.6966120E+01  0.1284381E+02  0.1646094E+02  0.1737726E+02
           13  0.2163575E+02  0.1428627E+02  0.1393752E+02  0.1452037E+02  0.1400799E+02  0.1355209E+02  0.1278337E+02  0.1194919E+02  0.1155439E+02  0.1166208E+02  0.1221730E+02  0.1232405E+02  0.1198088E+02  0.1085576E+02  0.1117857E+02  0.1115842E+02  0.1039354E+02  0.1025704E+02  0.1090653E+02  0.1044921E+02  0.1006661E+02  0.1136562E+02  0.1120930E+02  0.1090182E+02  0.1075256E+02  0.1007753E+02  0.9599378E+01  0.9306044E+01  0.9028199E+01  0.9089655E+01  0.8915374E+01  0.7426167E+01  0.4980803E+01  0.4579672E+01  0.4926865E+01  0.4285167E+01  0.3576984E+01  0.4611240E+01  0.7894847E+01  0.1345402E+02  0.1719546E+02  0.2128447E+02
           14  0.2158373E+02  0.1413164E+02  0.1387078E+02  0.1450606E+02  0.1418568E+02  0.1416060E+02  0.1291023E+02  0.1217436E+02  0.1123496E+02  0.1144921E+02  0.1194789E+02  0.1250326E+02  0.1040783E+02  0.1061915E+02  0.1113960E+02  0.1077426E+02  0.1084891E+02  0.1003128E+02  0.1050680E+02  0.1054300E+02  0.9858483E+01  0.1092441E+02  0.1081385E+02  0.1061413E+02  0.9966974E+01  0.1007810E+02  0.1008594E+02  0.9564939E+01  0.9185665E+01  0.9509634E+01  0.9064777E+01  0.6800362E+01  0.4446985E+01  0.4305549E+01  0.4124987E+01  0.3695448E+01  0.3068954E+01  0.4449269E+01  0.8741007E+01  0.1400100E+02  0.1784968E+02  0.1861402E+02
           15  0.2154744E+02  0.1540803E+02  0.1380748E+02  0.1449172E+02  0.1461966E+02  0.1500294E+02  0.1316013E+02  0.1118908E+02  0.1102380E+02  0.1233552E+02  0.1267521E+02  0.1268892E+02  0.9834991E+01  0.1027770E+02  0.1108534E+02  0.1035882E+02  0.1094057E+02  0.1054794E+02  0.1044760E+02  0.9811077E+01  0.9986090E+01  0.1047361E+02  0.1046107E+02  0.1045844E+02  0.1023803E+02  0.1070730E+02  0.1004228E+02  0.9917153E+01  0.9326522E+01  0.9801506E+01  0.7589410E+01  0.4771028E+01  0.3401004E+01  0.3657591E+01  0.3516078E+01  0.3128698E+01  0.2589765E+01  0.4299902E+01  0.9499273E+01  0.1447400E+02  0.1841425E+02  0.2142715E+02
           16  0.2154439E+02  0.1392470E+02  0.1372608E+02  0.1440481E+02  0.1465989E+02  0.1502774E+02  0.1340085E+02  0.1122950E+02  0.1097756E+02  0.1145137E+02  0.1246724E+02  0.1169002E+02  0.9514977E+01  0.1085439E+02  0.1097456E+02  0.1066985E+02  0.9669064E+01  0.1151927E+02  0.1016226E+02  0.9719734E+01  0.1011676E+02  0.1009693E+02  0.1032149E+02  0.1139917E+02  0.1029875E+02  0.1098826E+02  0.1058491E+02  0.9364819E+01  0.9348108E+01  0.9871249E+01  0.7239244E+01  0.3501579E+01  0.3005234E+01  0.3010160E+01  0.2678898E+01  0.2295025E+01  0.2748396E+01  0.9598794E+01  0.1166207E+02  0.1488200E+02  0.1952801E+02  0.2147881E+02
           17  0.2154091E+02  0.1383378E+02  0.1363374E+02  0.1444037E+02  0.1480558E+02  0.1508818E+02  0.1272327E+02  0.1103861E+02  0.1099264E+02  0.1125804E+02  0.1180377E+02  0.1125820E+02  0.9588465E+01  0.1062807E+02  0.1071430E+02  0.1045120E+02  0.9743382E+01  0.1107758E+02  0.1005982E+02  0.9753045E+01  0.1008555E+02  0.1001557E+02  0.1011383E+02  0.1092351E+02  0.1020894E+02  0.1078889E+02  0.1001208E+02  0.8720566E+01  0.8351118E+01  0.8543219E+01  0.6535487E+01  0.4102354E+01  0.3011438E+01  0.3196603E+01  0.3329553E+01  0.3131178E+01  0.2875142E+01  0.5010496E+01  0.1087231E+02  0.1485623E+02  0.1821183E+02  0.2143102E+02
           18  0.2153725E+02  0.1373908E+02  0.1353810E+02  0.1441028E+02  0.1475589E+02  0.1441802E+02  0.1282139E+02  0.1122369E+02  0.1099846E+02  0.1106371E+02  0.1113642E+02  0.1082361E+02  0.9662659E+01  0.1047530E+02  0.9944128E+01  0.1023290E+02  0.9817353E+01  0.1063834E+02  0.9960228E+01  0.9784627E+01  0.1026000E+02  0.9940584E+01  0.9915164E+01  0.1045299E+02  0.1011590E+02  0.1054055E+02  0.9613416E+01  0.9523806E+01  0.7662948E+01  0.7184788E+01  0.5789928E+01  0.3957853E+01  0.3149622E+01  0.3377790E+01  0.3748785E+01  0.3711011E+01  0.3684117E+01  0.5968043E+01  0.1162773E+02  0.1478110E+02  0.1738387E+02  0.2137161E+02
           19  0.2153346E+02  0.1364063E+02  0.1356133E+02  0.1437908E+02  0.1470543E+02  0.1462579E+02  0.1291971E+02  0.1140930E+02  0.1100432E+02  0.1086654E+02  0.1044965E+02  0.1036765E+02  0.1016893E+02  0.1026491E+02  0.9808202E+01  0.1001926E+02  0.9890785E+01  0.1020150E+02  0.9857394E+01  0.9817941E+01  0.1045037E+02  0.9860834E+01  0.9712040E+01  0.9983580E+01  0.1002483E+02  0.1029931E+02  0.9228801E+01  0.9164526E+01  0.6772285E+01  0.6003473E+01  0.5677635E+01  0.3813340E+01  0.3287531E+01  0.3558456E+01  0.4167738E+01  0.4291857E+01  0.4495804E+01  0.6928796E+01  0.1238170E+02  0.1442271E+02  0.1804755E+02  0.2130892E+02
           20  0.2152919E+02  0.1353575E+02  0.1342726E+02  0.1434688E+02  0.1464912E+02  0.1483308E+02  0.1301754E+02  0.1159304E+02  0.1101006E+02  0.1067778E+02  0.9817950E+01  0.1009684E+02  0.1020127E+02  0.1003565E+02  0.9666402E+01  0.9802197E+01  0.9964281E+01  0.9765427E+01  0.9756401E+01  0.9850687E+01  0.1063675E+02  0.9618523E+01  0.9509885E+01  0.9515137E+01  0.9933894E+01  0.1005906E+02  0.8846271E+01  0.8808068E+01  0.5889983E+01  0.4804930E+01  0.4449087E+01  0.3995601E+01  0.3485804E+01  0.3381043E+01  0.4187314E+01  0.4877025E+01  0.5314171E+01  0.7897929E+01  0.1314332E+02  0.1462792E+02  0.1750150E+02  0.2124522E+02
