     zb                    1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42
           31  0.1524853E+02  0.1289154E+02  0.1301032E+02  0.1362825E+02  0.1408077E+02  0.1280146E+02  0.1039417E+02  0.1009749E+02  0.1060469E+02  0.1072601E+02  0.1055734E+02  0.9699851E+01  0.9030587E+01  0.9580090E+01  0.1044829E+02  0.9554913E+01  0.8739966E+01  0.8016897E+01  0.7882128E+01  0.7331039E+01  0.7034149E+01  0.6656751E+01  0.6416722E+01  0.6165566E+01  0.6180811E+01  0.6512189E+01  0.6655869E+01  0.6829405E+01  0.6950946E+01  0.7189809E+01  0.7472652E+01  0.7531708E+01  0.7676085E+01  0.7769554E+01  0.7864047E+01  0.8011898E+01  0.7931448E+01  0.9386317E+01  0.9688644E+01  0.1079584E+02  0.1546550E+02  0.2118912E+02
           32  0.1752347E+02  0.1270492E+02  0.1321912E+02  0.1370871E+02  0.1405285E+02  0.1274193E+02  0.1093745E+02  0.9865237E+01  0.1017389E+02  0.1039811E+02  0.1045999E+02  0.9598335E+01  0.9095723E+01  0.9498892E+01  0.9588134E+01  0.7737390E+01  0.7427759E+01  0.6549358E+01  0.6086983E+01  0.6065084E+01  0.6328426E+01  0.6508665E+01  0.6319206E+01  0.6577743E+01  0.6748943E+01  0.6851459E+01  0.7024778E+01  0.7250681E+01  0.7445397E+01  0.7733008E+01  0.7762868E+01  0.7850422E+01  0.7969609E+01  0.8031214E+01  0.8142109E+01  0.8254939E+01  0.8180448E+01  0.8990114E+01  0.9902675E+01  0.1020929E+02  0.1564207E+02  0.2135034E+02
           33  0.1868682E+02  0.1286582E+02  0.1308658E+02  0.1389117E+02  0.1387708E+02  0.1236667E+02  0.9443574E+01  0.9223234E+01  0.9559935E+01  0.9763600E+01  0.9579094E+01  0.9199745E+01  0.9784935E+01  0.1010792E+02  0.9588908E+01  0.6686364E+01  0.4486694E+01  0.4147905E+01  0.4570399E+01  0.5535193E+01  0.6202911E+01  0.6600222E+01  0.6853662E+01  0.7043653E+01  0.7087483E+01  0.7272892E+01  0.7426157E+01  0.7661084E+01  0.7801322E+01  0.8002804E+01  0.8047058E+01  0.8200668E+01  0.8225535E+01  0.8310590E+01  0.8409283E+01  0.8495526E+01  0.8479678E+01  0.8932035E+01  0.9720922E+01  0.9837237E+01  0.1536046E+02  0.2110770E+02
           34  0.1646679E+02  0.1257935E+02  0.1284802E+02  0.1403665E+02  0.1370654E+02  0.1336636E+02  0.1213854E+02  0.8721716E+01  0.9158912E+01  0.9308593E+01  0.9366899E+01  0.9213004E+01  0.9332114E+01  0.8830992E+01  0.6968251E+01  0.6692097E+01  0.5930000E+01  0.5231116E+01  0.5904515E+01  0.6526430E+01  0.6880639E+01  0.7149286E+01  0.7227649E+01  0.7279857E+01  0.7409460E+01  0.7622370E+01  0.7765240E+01  0.7890983E+01  0.8012801E+01  0.8121057E+01  0.8312563E+01  0.8394643E+01  0.8475051E+01  0.8607765E+01  0.8660115E+01  0.8757707E+01  0.8805635E+01  0.8978469E+01  0.9635038E+01  0.9517180E+01  0.1798415E+02  0.2099954E+02
           35  0.1554318E+02  0.1258276E+02  0.1250412E+02  0.1385336E+02  0.1370572E+02  0.1331144E+02  0.1287694E+02  0.1114472E+02  0.9169883E+01  0.9173294E+01  0.9194600E+01  0.8932867E+01  0.8825833E+01  0.7503093E+01  0.6644646E+01  0.6581891E+01  0.6396408E+01  0.6164397E+01  0.6860366E+01  0.7200784E+01  0.7339113E+01  0.7456144E+01  0.7587737E+01  0.7606633E+01  0.7772312E+01  0.7887964E+01  0.8120081E+01  0.8240859E+01  0.8342299E+01  0.8400955E+01  0.8518681E+01  0.8576384E+01  0.8621781E+01  0.8788196E+01  0.8854729E+01  0.8965720E+01  0.9010420E+01  0.9180771E+01  0.9715559E+01  0.9644870E+01  0.1545818E+02  0.2124062E+02
           36  0.1883597E+02  0.1244061E+02  0.1259324E+02  0.1372504E+02  0.1336293E+02  0.1365671E+02  0.1357492E+02  0.1228593E+02  0.9420698E+01  0.9226746E+01  0.9170288E+01  0.6821924E+01  0.5821396E+01  0.5597062E+01  0.5923880E+01  0.6279904E+01  0.6359907E+01  0.6962082E+01  0.7348303E+01  0.7519727E+01  0.7636928E+01  0.7699491E+01  0.7853268E+01  0.7976698E+01  0.8020848E+01  0.8215366E+01  0.8428462E+01  0.8553958E+01  0.8666038E+01  0.8718196E+01  0.8764730E+01  0.8819364E+01  0.8888381E+01  0.8972127E+01  0.9059456E+01  0.9105204E+01  0.9032579E+01  0.9203065E+01  0.9380590E+01  0.9484855E+01  0.1551464E+02  0.2118522E+02
           37  0.1804974E+02  0.1243214E+02  0.1221600E+02  0.1362410E+02  0.1343220E+02  0.1387827E+02  0.1393148E+02  0.1265315E+02  0.9444886E+01  0.8772579E+01  0.8509095E+01  0.4459358E+01  0.4668245E+01  0.4870258E+01  0.5501699E+01  0.6621929E+01  0.7349610E+01  0.7567133E+01  0.7632002E+01  0.7765502E+01  0.7885621E+01  0.8183385E+01  0.8142433E+01  0.8318325E+01  0.8492243E+01  0.8645219E+01  0.8715256E+01  0.8816144E+01  0.8966477E+01  0.9003030E+01  0.8996176E+01  0.9062839E+01  0.9096209E+01  0.9165537E+01  0.9178310E+01  0.9351338E+01  0.9127488E+01  0.9206451E+01  0.9398536E+01  0.9565705E+01  0.1512840E+02  0.2088387E+02
           38  0.1783139E+02  0.1271174E+02  0.1245216E+02  0.1373737E+02  0.1380660E+02  0.1364617E+02  0.1324660E+02  0.1168937E+02  0.7640968E+01  0.7487066E+01  0.5436447E+01  0.4636381E+01  0.4876990E+01  0.5276538E+01  0.6090692E+01  0.7014877E+01  0.7473338E+01  0.7782815E+01  0.7921428E+01  0.8048421E+01  0.8214263E+01  0.8322873E+01  0.8518400E+01  0.8632325E+01  0.8760454E+01  0.8837499E+01  0.9007832E+01  0.9065287E+01  0.9169979E+01  0.9096545E+01  0.9207082E+01  0.9150290E+01  0.9180855E+01  0.9263602E+01  0.9289973E+01  0.9371274E+01  0.9248224E+01  0.9053472E+01  0.9539870E+01  0.1303706E+02  0.1786866E+02  0.2044325E+02
           39  0.1827872E+02  0.1266192E+02  0.1199977E+02  0.1352444E+02  0.1336404E+02  0.1390777E+02  0.1201830E+02  0.8967889E+01  0.6242223E+01  0.6013519E+01  0.5557582E+01  0.5038721E+01  0.5053360E+01  0.5917290E+01  0.6941550E+01  0.7512855E+01  0.7806503E+01  0.8114247E+01  0.8244563E+01  0.8511652E+01  0.8708217E+01  0.8649272E+01  0.8690388E+01  0.8930534E+01  0.9044143E+01  0.9133073E+01  0.8898156E+01  0.9251017E+01  0.9257722E+01  0.9208570E+01  0.8922531E+01  0.8501399E+01  0.9273464E+01  0.9318531E+01  0.9314827E+01  0.9280435E+01  0.9150359E+01  0.9271546E+01  0.9542366E+01  0.1283572E+02  0.1832132E+02  0.2112765E+02
           40  0.1958027E+02  0.1257306E+02  0.1175074E+02  0.1318565E+02  0.1330184E+02  0.1372893E+02  0.1015278E+02  0.6050306E+01  0.5308077E+01  0.5306863E+01  0.5369563E+01  0.5228833E+01  0.5320635E+01  0.6159701E+01  0.7040866E+01  0.7614972E+01  0.8064150E+01  0.8299285E+01  0.8602834E+01  0.9022373E+01  0.8785185E+01  0.8906871E+01  0.9046630E+01  0.9061069E+01  0.8499060E+01  0.6941353E+01  0.9451423E+01  0.7471886E+01  0.8946632E+01  0.7536665E+01  0.8065205E+01  0.9236112E+01  0.9403786E+01  0.9401843E+01  0.9248731E+01  0.9273816E+01  0.9456397E+01  0.9408944E+01  0.9522126E+01  0.1329637E+02  0.1814184E+02  0.2103550E+02
           41  0.1593555E+02  0.1256278E+02  0.1170773E+02  0.1288317E+02  0.1303126E+02  0.1244246E+02  0.6776039E+01  0.4613547E+01  0.4516191E+01  0.4920488E+01  0.5258835E+01  0.5422632E+01  0.5546410E+01  0.6604351E+01  0.7468917E+01  0.7976573E+01  0.8497545E+01  0.8706601E+01  0.8994044E+01  0.8823472E+01  0.8781693E+01  0.9180111E+01  0.9036316E+01  0.8955606E+01  0.8383685E+01  0.9288282E+01  0.9263151E+01  0.9414253E+01  0.8547799E+01  0.7693076E+01  0.8722574E+01  0.9422085E+01  0.9379146E+01  0.9275201E+01  0.9241367E+01  0.9249758E+01  0.9392544E+01  0.9329359E+01  0.1084441E+02  0.1425084E+02  0.1812803E+02  0.2057935E+02
           42  0.1922443E+02  0.1273972E+02  0.1258614E+02  0.1310011E+02  0.1300677E+02  0.1260432E+02  0.7912446E+01  0.5473174E+01  0.4519250E+01  0.4800000E+01  0.5214812E+01  0.5663461E+01  0.5893218E+01  0.6794105E+01  0.7769958E+01  0.8289249E+01  0.8684892E+01  0.9085357E+01  0.9129270E+01  0.7151525E+01  0.7073130E+01  0.7835892E+01  0.8080685E+01  0.7453418E+01  0.7429165E+01  0.6818573E+01  0.7690800E+01  0.8704084E+01  0.7826658E+01  0.9447756E+01  0.9424752E+01  0.9427776E+01  0.9288620E+01  0.9381719E+01  0.9357780E+01  0.9184384E+01  0.1001881E+02  0.1026699E+02  0.1317886E+02  0.1333564E+02  0.1814260E+02  0.2066067E+02
           43  0.1895286E+02  0.1263253E+02  0.1293961E+02  0.1236954E+02  0.1300688E+02  0.1113189E+02  0.9225649E+01  0.5287116E+01  0.4891491E+01  0.4611733E+01  0.5045413E+01  0.5673254E+01  0.6175949E+01  0.6975460E+01  0.8032634E+01  0.8791601E+01  0.9330378E+01  0.9042185E+01  0.9116741E+01  0.8206464E+01  0.9231618E+01  0.7788105E+01  0.8279347E+01  0.7756464E+01  0.8046536E+01  0.7320515E+01  0.8899510E+01  0.9398548E+01  0.9513363E+01  0.9441585E+01  0.9457515E+01  0.9483832E+01  0.9360368E+01  0.9444165E+01  0.9397177E+01  0.9542603E+01  0.9677157E+01  0.1047957E+02  0.1301165E+02  0.1444826E+02  0.1778390E+02  0.2071030E+02
           44  0.1924047E+02  0.1250688E+02  0.1268619E+02  0.1167610E+02  0.1329829E+02  0.1107217E+02  0.5349994E+01  0.4962715E+01  0.5064413E+01  0.4716242E+01  0.4890047E+01  0.5636966E+01  0.6359907E+01  0.7438617E+01  0.8592894E+01  0.8978417E+01  0.9120826E+01  0.9076418E+01  0.9278185E+01  0.9300113E+01  0.9465459E+01  0.7888668E+01  0.8508685E+01  0.8406956E+01  0.8796454E+01  0.8503474E+01  0.8246221E+01  0.9039410E+01  0.9485544E+01  0.9520419E+01  0.9552790E+01  0.9464468E+01  0.9422905E+01  0.9412512E+01  0.9613779E+01  0.1007965E+02  0.9880602E+01  0.1235844E+02  0.1363896E+02  0.1590127E+02  0.1798671E+02  0.2059161E+02
           45  0.2008235E+02  0.1220053E+02  0.1218077E+02  0.1170614E+02  0.1276516E+02  0.1016092E+02  0.4117511E+01  0.4436440E+01  0.4677799E+01  0.4866450E+01  0.4929755E+01  0.5384477E+01  0.6974827E+01  0.8179984E+01  0.8926709E+01  0.9198389E+01  0.9191624E+01  0.9235747E+01  0.9395353E+01  0.9433191E+01  0.9390887E+01  0.9118546E+01  0.8671214E+01  0.8715915E+01  0.8668831E+01  0.9002164E+01  0.8706858E+01  0.8936603E+01  0.9510123E+01  0.9590671E+01  0.9550791E+01  0.9464147E+01  0.9606252E+01  0.9629652E+01  0.9626726E+01  0.9490839E+01  0.1088465E+02  0.1250677E+02  0.1326916E+02  0.1500539E+02  0.1740223E+02  0.2008514E+02
           46  0.1881776E+02  0.1235687E+02  0.1232272E+02  0.1257064E+02  0.1284219E+02  0.1062131E+02  0.3453382E+01  0.3948353E+01  0.4728512E+01  0.5000000E+01  0.5236866E+01  0.5834697E+01  0.6935409E+01  0.9018811E+01  0.9178697E+01  0.8735142E+01  0.9166686E+01  0.9283720E+01  0.9409062E+01  0.9374381E+01  0.9298800E+01  0.9097119E+01  0.9137738E+01  0.8769033E+01  0.8903166E+01  0.8981925E+01  0.9102325E+01  0.9399643E+01  0.9603757E+01  0.9638199E+01  0.9557943E+01  0.9619095E+01  0.9958977E+01  0.1007590E+02  0.9996526E+01  0.1016902E+02  0.1248583E+02  0.1282445E+02  0.1300319E+02  0.1490979E+02  0.1512938E+02  0.2020785E+02
           47  0.1857576E+02  0.1235111E+02  0.1238735E+02  0.1239617E+02  0.1348780E+02  0.1055447E+02  0.2922215E+01  0.3253117E+01  0.4600000E+01  0.4941417E+01  0.5473519E+01  0.6095254E+01  0.7049994E+01  0.8080538E+01  0.8502996E+01  0.8744492E+01  0.9009477E+01  0.9107278E+01  0.9136354E+01  0.9127462E+01  0.8838962E+01  0.8447542E+01  0.8248755E+01  0.8415717E+01  0.8219625E+01  0.8245928E+01  0.8680176E+01  0.8805153E+01  0.9612007E+01  0.9708080E+01  0.9599658E+01  0.9438906E+01  0.9724406E+01  0.1004344E+02  0.1063217E+02  0.1064649E+02  0.1199929E+02  0.1258048E+02  0.1351408E+02  0.1467587E+02  0.1483601E+02  0.2026641E+02
           48  0.1930300E+02  0.1220782E+02  0.1236847E+02  0.1227000E+02  0.1310704E+02  0.1124949E+02  0.3160527E+01  0.1895911E+01  0.3908719E+01  0.4810127E+01  0.5431881E+01  0.6267193E+01  0.7060318E+01  0.7907763E+01  0.8027788E+01  0.8533593E+01  0.8655101E+01  0.8419530E+01  0.8546361E+01  0.9011187E+01  0.8665772E+01  0.8262696E+01  0.8212704E+01  0.8231989E+01  0.8401030E+01  0.8491668E+01  0.8701405E+01  0.8989967E+01  0.9440884E+01  0.9704985E+01  0.9615722E+01  0.9552718E+01  0.1006667E+02  0.1041828E+02  0.1123080E+02  0.1124604E+02  0.1181306E+02  0.1262637E+02  0.1394427E+02  0.1425256E+02  0.1446846E+02  0.2004238E+02
           49  0.1948053E+02  0.1235687E+02  0.1184516E+02  0.1255952E+02  0.1299614E+02  0.1205197E+02  0.3808095E+01  0.1571001E+01  0.3293320E+01  0.4322276E+01  0.5444174E+01  0.6265793E+01  0.7680141E+01  0.7986638E+01  0.7507369E+01  0.8017911E+01  0.7936927E+01  0.7861088E+01  0.8511280E+01  0.8962744E+01  0.8931479E+01  0.8800992E+01  0.7804123E+01  0.7821160E+01  0.7942951E+01  0.8036868E+01  0.8612431E+01  0.8935987E+01  0.9589262E+01  0.9794281E+01  0.9897790E+01  0.1008394E+02  0.9944395E+01  0.1094779E+02  0.1148488E+02  0.1254567E+02  0.1276405E+02  0.1299065E+02  0.1404922E+02  0.1410333E+02  0.1430505E+02  0.2018680E+02
           50  0.1946349E+02  0.1234971E+02  0.1213179E+02  0.1241802E+02  0.1265225E+02  0.1203966E+02  0.4015020E+01  0.2271281E+01  0.3300000E+01  0.4064773E+01  0.4688921E+01  0.6427442E+01  0.7564133E+01  0.7596320E+01  0.8187035E+01  0.7823637E+01  0.7427310E+01  0.7761084E+01  0.8351681E+01  0.8406849E+01  0.8470276E+01  0.8325072E+01  0.8027591E+01  0.7882845E+01  0.8153201E+01  0.8897479E+01  0.9423088E+01  0.9788458E+01  0.1027327E+02  0.9811969E+01  0.1016125E+02  0.1011946E+02  0.1124775E+02  0.1150834E+02  0.1129143E+02  0.1192491E+02  0.1265034E+02  0.1318647E+02  0.1362496E+02  0.1402527E+02  0.1419103E+02  0.2045388E+02
           51  0.1953302E+02  0.1256715E+02  0.1222053E+02  0.1223475E+02  0.1262874E+02  0.1154032E+02  0.4009276E+01  0.2716839E+01  0.3300000E+01  0.3910287E+01  0.4600000E+01  0.5872425E+01  0.6864285E+01  0.7514146E+01  0.7393804E+01  0.7640588E+01  0.8270369E+01  0.8222155E+01  0.8441227E+01  0.8593215E+01  0.7904318E+01  0.7720368E+01  0.8047198E+01  0.8415895E+01  0.8085547E+01  0.8839083E+01  0.9679904E+01  0.1001084E+02  0.9850295E+01  0.9885618E+01  0.9826215E+01  0.1026494E+02  0.1107494E+02  0.1142370E+02  0.1099630E+02  0.1102818E+02  0.1203455E+02  0.1305298E+02  0.1351704E+02  0.1383342E+02  0.1381557E+02  0.2003230E+02
           52  0.1980412E+02  0.1276080E+02  0.1217411E+02  0.1214407E+02  0.1234857E+02  0.1201121E+02  0.3494409E+01  0.3108002E+01  0.3469993E+01  0.3850844E+01  0.4336837E+01  0.5281148E+01  0.6550225E+01  0.7131677E+01  0.7228635E+01  0.7657460E+01  0.8151891E+01  0.8111471E+01  0.8756623E+01  0.8331006E+01  0.9348946E+01  0.7748741E+01  0.7970465E+01  0.7746182E+01  0.8225021E+01  0.8854130E+01  0.9322834E+01  0.9755081E+01  0.9900791E+01  0.9653822E+01  0.9882677E+01  0.1026387E+02  0.1074306E+02  0.1086223E+02  0.1063431E+02  0.1072597E+02  0.1137749E+02  0.1345279E+02  0.1371590E+02  0.1354507E+02  0.1378173E+02  0.1978152E+02
           53  0.1963560E+02  0.1297575E+02  0.1291084E+02  0.1274285E+02  0.1326958E+02  0.1202327E+02  0.7687130E+01  0.3322297E+01  0.3496028E+01  0.3695658E+01  0.4280731E+01  0.5285503E+01  0.6470552E+01  0.6812182E+01  0.7103312E+01  0.7445050E+01  0.7734569E+01  0.7597967E+01  0.8221060E+01  0.8311776E+01  0.8068281E+01  0.7860693E+01  0.7959255E+01  0.7626290E+01  0.8452410E+01  0.8593790E+01  0.9685912E+01  0.9953831E+01  0.9672405E+01  0.1002772E+02  0.1029804E+02  0.1045052E+02  0.1058312E+02  0.1080121E+02  0.1080687E+02  0.1131917E+02  0.1151983E+02  0.1322453E+02  0.1367356E+02  0.1362830E+02  0.1446747E+02  0.2001363E+02
           54  0.1985527E+02  0.1311664E+02  0.1263048E+02  0.1231974E+02  0.1259627E+02  0.1235830E+02  0.6837766E+01  0.3651132E+01  0.3410514E+01  0.3687839E+01  0.3988586E+01  0.4801470E+01  0.5918164E+01  0.6658884E+01  0.7135848E+01  0.7379455E+01  0.7380636E+01  0.7680130E+01  0.8065133E+01  0.8347806E+01  0.7818931E+01  0.7602747E+01  0.7871883E+01  0.7692325E+01  0.8234694E+01  0.8441365E+01  0.8975377E+01  0.9505451E+01  0.9774454E+01  0.9853742E+01  0.9972742E+01  0.1021437E+02  0.1062413E+02  0.1079648E+02  0.1045267E+02  0.1080123E+02  0.1124095E+02  0.1290111E+02  0.1319132E+02  0.1355087E+02  0.1513816E+02  0.2032371E+02
           55  0.1990808E+02  0.1322102E+02  0.1268917E+02  0.1196885E+02  0.1287434E+02  0.1356995E+02  0.6321078E+01  0.3539289E+01  0.3495501E+01  0.3499382E+01  0.3610757E+01  0.4515879E+01  0.5715170E+01  0.7083694E+01  0.7234563E+01  0.7410224E+01  0.7530738E+01  0.7344461E+01  0.7676301E+01  0.7838367E+01  0.7771566E+01  0.7673601E+01  0.7922282E+01  0.7885335E+01  0.8153182E+01  0.8835982E+01  0.9585849E+01  0.1027202E+02  0.1006364E+02  0.1004879E+02  0.1007046E+02  0.1019161E+02  0.1024288E+02  0.1061570E+02  0.1060727E+02  0.1092995E+02  0.1166661E+02  0.1214669E+02  0.1317407E+02  0.1337395E+02  0.1303093E+02  0.2003283E+02
           56  0.1991083E+02  0.1332987E+02  0.1240558E+02  0.1072137E+02  0.1308143E+02  0.1397052E+02  0.9571153E+01  0.3376421E+01  0.3356857E+01  0.3275638E+01  0.3457311E+01  0.4887966E+01  0.6127693E+01  0.6804944E+01  0.7013842E+01  0.7149574E+01  0.7129244E+01  0.7117611E+01  0.6825986E+01  0.6527661E+01  0.6854144E+01  0.7880544E+01  0.8042194E+01  0.7278775E+01  0.8472276E+01  0.8518516E+01  0.8924101E+01  0.9048751E+01  0.9626550E+01  0.9931508E+01  0.1029304E+02  0.1004644E+02  0.9743623E+01  0.1008150E+02  0.1037507E+02  0.1058341E+02  0.1145191E+02  0.1213410E+02  0.1256599E+02  0.1283003E+02  0.1267711E+02  0.1983180E+02
           57  0.1983134E+02  0.1324341E+02  0.1254158E+02  0.1132348E+02  0.1368876E+02  0.1192838E+02  0.9266137E+01  0.3852339E+01  0.3504764E+01  0.3490620E+01  0.3780586E+01  0.4804110E+01  0.5373080E+01  0.5906970E+01  0.6474476E+01  0.6716526E+01  0.6841943E+01  0.6844255E+01  0.7090994E+01  0.8271806E+01  0.7739461E+01  0.7580221E+01  0.7544434E+01  0.7563358E+01  0.8259952E+01  0.8166902E+01  0.8800637E+01  0.9011886E+01  0.9231750E+01  0.1013805E+02  0.1028509E+02  0.9886183E+01  0.1006714E+02  0.1001544E+02  0.1079186E+02  0.9434966E+01  0.9390749E+01  0.1273834E+02  0.1287730E+02  0.1307547E+02  0.1277763E+02  0.1990442E+02
           58  0.1977616E+02  0.1287856E+02  0.1235902E+02  0.1112180E+02  0.1309413E+02  0.1135399E+02  0.1126452E+02  0.6147619E+01  0.3644252E+01  0.3689315E+01  0.4077860E+01  0.4709452E+01  0.4946226E+01  0.5247851E+01  0.5918834E+01  0.6448868E+01  0.6676589E+01  0.6828090E+01  0.6761463E+01  0.7528823E+01  0.7183994E+01  0.7130389E+01  0.7161559E+01  0.7888802E+01  0.8740949E+01  0.7959544E+01  0.8299403E+01  0.8814520E+01  0.8827923E+01  0.9868573E+01  0.9897812E+01  0.9697667E+01  0.1016907E+02  0.1005589E+02  0.9478492E+01  0.1009182E+02  0.9586220E+01  0.1229449E+02  0.1287577E+02  0.1291750E+02  0.1341286E+02  0.1997656E+02
           59  0.1959628E+02  0.1271607E+02  0.1258448E+02  0.1174904E+02  0.1311622E+02  0.1312989E+02  0.9941815E+01  0.5185241E+01  0.3904094E+01  0.4234747E+01  0.4400000E+01  0.4672970E+01  0.4490475E+01  0.4497731E+01  0.5045205E+01  0.5828028E+01  0.6450486E+01  0.6522005E+01  0.6971924E+01  0.7175306E+01  0.7270978E+01  0.6790864E+01  0.8127315E+01  0.8236018E+01  0.7946076E+01  0.8844801E+01  0.7952871E+01  0.8445484E+01  0.8815006E+01  0.9511929E+01  0.9740597E+01  0.9942433E+01  0.1011924E+02  0.9234392E+01  0.9597327E+01  0.1085429E+02  0.1078395E+02  0.1166348E+02  0.1228089E+02  0.1276904E+02  0.1550293E+02  0.2007509E+02
           60  0.1988126E+02  0.1271337E+02  0.1225795E+02  0.1244172E+02  0.1314447E+02  0.1323259E+02  0.1271189E+02  0.6875812E+01  0.4014499E+01  0.4500890E+01  0.4436999E+01  0.4488331E+01  0.4158270E+01  0.3890333E+01  0.4256194E+01  0.4634405E+01  0.6244745E+01  0.6545290E+01  0.7714034E+01  0.7618808E+01  0.7190219E+01  0.7125719E+01  0.7369482E+01  0.7686501E+01  0.7243965E+01  0.8658573E+01  0.8378581E+01  0.8567888E+01  0.8133221E+01  0.8802727E+01  0.9511288E+01  0.9679238E+01  0.9721666E+01  0.8958953E+01  0.9838580E+01  0.1053824E+02  0.1092281E+02  0.1128773E+02  0.1208057E+02  0.1244747E+02  0.1356221E+02  0.2007006E+02
           61  0.2021737E+02  0.1256110E+02  0.1224468E+02  0.1250961E+02  0.1288342E+02  0.1269965E+02  0.1058995E+02  0.8655895E+01  0.5114130E+01  0.4856518E+01  0.4401802E+01  0.4237559E+01  0.3897752E+01  0.3917232E+01  0.4086419E+01  0.4776414E+01  0.5741260E+01  0.6156947E+01  0.7521637E+01  0.7502910E+01  0.7041138E+01  0.7106705E+01  0.6496674E+01  0.7484027E+01  0.7077750E+01  0.8522892E+01  0.8103239E+01  0.8517785E+01  0.7955027E+01  0.8410483E+01  0.9567955E+01  0.9382286E+01  0.9427865E+01  0.9185402E+01  0.9463071E+01  0.1020674E+02  0.1092926E+02  0.1139401E+02  0.1185537E+02  0.1231395E+02  0.1344996E+02  0.1980333E+02
           62  0.2013293E+02  0.1250447E+02  0.1233116E+02  0.1200917E+02  0.1284898E+02  0.1210000E+02  0.1076152E+02  0.8839229E+01  0.5787487E+01  0.4724398E+01  0.4187114E+01  0.3932642E+01  0.3928087E+01  0.3961061E+01  0.4100000E+01  0.4431412E+01  0.5122000E+01  0.5635981E+01  0.6647621E+01  0.7006057E+01  0.7021732E+01  0.6806968E+01  0.6653346E+01  0.7308929E+01  0.7318838E+01  0.8485835E+01  0.7415393E+01  0.8467561E+01  0.8849260E+01  0.8960631E+01  0.9702227E+01  0.9254019E+01  0.9349342E+01  0.9211572E+01  0.9116431E+01  0.9974451E+01  0.1103435E+02  0.1140304E+02  0.1174819E+02  0.1214418E+02  0.1332008E+02  0.1888897E+02
           63  0.1995561E+02  0.1239297E+02  0.1226186E+02  0.1248267E+02  0.1236114E+02  0.1218689E+02  0.1093079E+02  0.9331888E+01  0.6239482E+01  0.4555665E+01  0.3807048E+01  0.3743433E+01  0.4024633E+01  0.4100000E+01  0.4200000E+01  0.4453136E+01  0.4779839E+01  0.4955012E+01  0.5634702E+01  0.6415841E+01  0.6845535E+01  0.6895816E+01  0.6987044E+01  0.7127713E+01  0.7381539E+01  0.7947364E+01  0.7165958E+01  0.8344731E+01  0.9420438E+01  0.9618965E+01  0.9332040E+01  0.9070676E+01  0.9180437E+01  0.9069608E+01  0.8700049E+01  0.9598475E+01  0.1061055E+02  0.1138684E+02  0.1177921E+02  0.1166413E+02  0.1287786E+02  0.1755409E+02
           64  0.1941229E+02  0.1222306E+02  0.1189647E+02  0.1201687E+02  0.1225137E+02  0.1218341E+02  0.1113011E+02  0.9777935E+01  0.6642660E+01  0.4060501E+01  0.3517230E+01  0.3991210E+01  0.4106570E+01  0.4127035E+01  0.4168978E+01  0.4176831E+01  0.4209280E+01  0.4555353E+01  0.4828102E+01  0.5423373E+01  0.6401058E+01  0.6864008E+01  0.7082250E+01  0.7168193E+01  0.6922378E+01  0.7456483E+01  0.6995698E+01  0.7263884E+01  0.8370645E+01  0.9000851E+01  0.8623513E+01  0.9173684E+01  0.8937708E+01  0.8444684E+01  0.9012385E+01  0.9662814E+01  0.1012243E+02  0.1124182E+02  0.1150567E+02  0.1163792E+02  0.1221318E+02  0.1717558E+02
           65  0.1949982E+02  0.1221540E+02  0.1208053E+02  0.1213175E+02  0.1200576E+02  0.1211142E+02  0.1184346E+02  0.9739494E+01  0.5345578E+01  0.4108651E+01  0.3801286E+01  0.3959523E+01  0.4156979E+01  0.4214469E+01  0.3998212E+01  0.3979052E+01  0.3929071E+01  0.4069638E+01  0.4272718E+01  0.4330957E+01  0.7466105E+01  0.6744200E+01  0.6475270E+01  0.7993137E+01  0.8028778E+01  0.7225783E+01  0.6379186E+01  0.6510314E+01  0.7442134E+01  0.8316884E+01  0.7978927E+01  0.7663781E+01  0.7897675E+01  0.8095445E+01  0.7756170E+01  0.8440938E+01  0.9969783E+01  0.1009749E+02  0.1129814E+02  0.1131327E+02  0.1234204E+02  0.1886845E+02
           66  0.1978795E+02  0.1223877E+02  0.1199190E+02  0.1224345E+02  0.1191123E+02  0.1186944E+02  0.1122090E+02  0.8915386E+01  0.7665683E+01  0.4576504E+01  0.4443071E+01  0.4381072E+01  0.4481654E+01  0.4379951E+01  0.4180350E+01  0.3999352E+01  0.3995172E+01  0.4096004E+01  0.4296265E+01  0.4672088E+01  0.6279057E+01  0.6286399E+01  0.5993632E+01  0.7418816E+01  0.7050202E+01  0.6963239E+01  0.7232449E+01  0.6866480E+01  0.7544457E+01  0.7788286E+01  0.7891897E+01  0.8704477E+01  0.8448190E+01  0.8335786E+01  0.8176793E+01  0.8017583E+01  0.1054536E+02  0.1007796E+02  0.1130918E+02  0.1139500E+02  0.1238727E+02  0.1842805E+02
