 time  depth
   0.00000000000000        5.00000000000000     
   60.0000000000000        4.41631473579416     
   120.000000000000        3.86884495370692     
   180.000000000000        3.35759065373829     
   240.000000000000        2.88255183588826     
   300.000000000000        2.44372850015684     
   360.000000000000        2.04112064654402     
   420.000000000000        1.67472827504981     
   480.000000000000        1.34455138567421     
   540.000000000000        1.05058997841721     
   600.000000000000       0.792844053278817     
   660.000000000000       0.571313610259030     
   720.000000000000       0.385998649357849     
   780.000000000000       0.236899170575273     
   840.000000000000       0.124015173911303     
   900.000000000000       4.734665936593922E-002
   960.000000000000       6.893626939180801E-003
